,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM,Inductance/10000
0,0.0,0.5476999999999977,30.906,21.95999,21.83999,34.79003,41.2445,100.0,1894.0,15564.0,80.0,5055.0,45.0,5445.0,22.22183,21.16439,118.83645,3.41902,406.304199279,100.0,100.0,234.8596
1,5.0,0.5476999999999977,30.906,22.96099,22.88398,34.80148,40.48156,100.0,1787.0,15381.0,80.0,5055.0,45.0,5370.0,22.26722,21.17507,116.00666,3.20471,371.7677033686,100.0,100.0,234.8833
2,10.0,0.5476999999999977,30.906,24.92498,24.73999,34.729,40.07911,100.0,1733.0,15350.0,80.0,5100.0,45.0,5370.0,22.90542,21.21246,118.16796,3.20173,378.3419025708,100.0,100.0,234.9261
3,15.0,0.5476999999999977,30.906,27.37899,27.10299,34.13963,40.22789,100.0,1695.0,15329.0,80.0,5100.0,45.0,5385.0,23.82934,21.3166,117.59533,3.19262,375.4372024646,100.0,100.0,234.9877
4,20.0,0.5476999999999977,30.906,30,29.56599,32.78923,40.36903,100.0,1531.0,15291.0,80.0,5115.0,45.0,5370.0,25.20988,21.45278,117.00144,3.1679,370.648861776,100.0,100.0,234.985
5,25.0,0.5476999999999977,30.906,32.51599,32.06399,31.18133,40.11535,100.0,1714.0,15261.0,80.0,5085.0,45.0,5385.0,26.44889,21.61834,115.77261,3.10237,359.1694720857,100.0,100.0,234.8419
6,30.0,0.5476999999999977,30.906,34.96798,34.59298,29.16908,40.03715,100.0,1677.0,15260.0,80.0,5100.0,45.0,5385.0,27.93624,21.83464,117.71322,3.14271,369.93851362620006,100.0,100.0,234.7969
7,35.0,0.5476999999999977,30.906,37.32299,37.02899,27.53829,39.64805,100.0,1636.0,15260.0,80.0,5100.0,45.0,5370.0,29.12986,22.01889,119.37731,3.20132,382.1649700492,100.0,100.0,234.8663
8,40.0,0.5476999999999977,30.906,39.64698,39.29399,25.72059,39.55078,100.0,1714.0,15243.0,80.0,5100.0,45.0,5370.0,30.44097,22.22183,120.27507,3.22404,387.7716366828,100.0,100.0,234.9041
9,45.0,0.5476999999999977,30.906,41.82798,41.42799,24.33586,38.99765,100.0,1731.0,15213.0,80.0,5085.0,45.0,5370.0,31.45568,22.38739,119.9954,3.19725,383.65529265,100.0,100.0,234.9665
10,50.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
11,55.0,0.5476999999999977,30.906,43.91598,43.41598,22.89009,38.74969,100.0,1677.0,15182.0,80.0,5100.0,45.0,5385.0,32.56118,22.57698,117.58222,3.14424,369.7067194128,100.0,100.0,234.9687
12,60.0,0.5476999999999977,30.906,45.86099,45.33299,21.86012,38.54751,100.0,1677.0,15153.0,80.0,5100.0,45.0,5385.0,33.40499,22.68112,116.76411,3.11564,363.7949316804,100.0,100.0,234.906
13,65.0,0.5476999999999977,30.906,47.72898,47.16198,20.82252,38.54751,100.0,1655.0,15151.0,80.0,5100.0,45.0,5370.0,34.30755,22.86003,117.09098,3.11383,364.6014062534,100.0,100.0,234.8556
14,70.0,0.5476999999999977,30.906,49.47198,48.94499,19.93942,38.30909,100.0,1714.0,15172.0,80.0,5100.0,45.0,5385.0,34.97512,23.00689,117.31979,3.13621,367.9394985959,100.0,100.0,234.8508
15,75.0,0.5476999999999977,30.906,51.16198,50.64799,19.104,38.06686,100.0,1677.0,15177.0,80.0,5085.0,45.0,5385.0,35.73348,23.16444,119.51408,3.19154,381.4339668832,100.0,100.0,234.8937
16,80.0,0.5476999999999977,30.906,52.75599,52.21598,18.41926,37.74452,100.0,1696.0,15165.0,80.0,5100.0,45.0,5385.0,36.32896,23.32199,119.23521,3.19425,380.8670695425,100.0,100.0,234.9458
17,85.0,0.5476999999999977,30.906,54.24299,53.73599,17.64297,37.40882,100.0,1677.0,15149.0,80.0,5100.0,45.0,5385.0,36.9458,23.4822,119.44184,3.18814,380.7973077776,100.0,100.0,234.9813
18,90.0,0.5476999999999977,30.906,55.62098,55.13499,17.16041,37.40692,100.0,1714.0,15136.0,80.0,5100.0,45.0,5370.0,37.39974,23.63975,116.00401,3.08581,357.9663340981,100.0,100.0,234.9249
19,95.0,0.5476999999999977,30.906,56.89099,56.53999,16.64161,37.39356,100.0,1695.0,15136.0,80.0,5085.0,45.0,5385.0,37.93647,23.78395,115.72999,3.08032,356.4854027968,100.0,100.0,234.8417
