,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM,Inductance/10000
0,0.0,0.6870799999999996,29.762,21.95999,21.91999,35.32218,41.0633,100.0,1875.0,14220.0,80.0,5070.0,45.0,5460.0,22.51823,21.50352,118.03747,3.34335,394.6405753245,100.0,100.0,234.7493
1,5.0,0.6890799999999985,29.764,22.92298,22.88398,35.25543,40.80581,100.0,1787.0,14011.0,80.0,5055.0,45.0,5385.0,22.57965,21.53022,118.70669,3.28701,390.1900770969,100.0,100.0,234.6647
2,10.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
3,15.0,0.6850800000000007,29.76,24.92498,24.81399,35.12001,40.50064,100.0,1714.0,13987.0,80.0,5070.0,45.0,5385.0,23.1137,21.53022,121.29583,3.29797,400.0300084651,100.0,100.0,234.6734
4,20.0,0.6870799999999996,29.762,27.41299,27.17199,34.64698,40.43006,100.0,1714.0,13975.0,80.0,5100.0,45.0,5370.0,23.97621,21.62368,121.71694,3.28305,399.60279986699993,100.0,100.0,234.7566
5,25.0,0.6850800000000007,29.76,30.13299,29.76599,33.19549,40.2584,100.0,1750.0,13944.0,80.0,5100.0,45.0,5385.0,25.34873,21.74118,120.14686,3.22808,387.8436758288,100.0,100.0,234.806
6,30.0,0.6870799999999996,29.762,32.77398,32.38699,31.57997,39.76821,100.0,1714.0,13919.0,80.0,5100.0,45.0,5370.0,26.64649,21.89071,122.12145,3.26141,398.2881182445,100.0,100.0,234.8168
7,35.0,0.6870799999999996,29.762,35.42399,34.93699,29.43038,39.36386,100.0,1733.0,13886.0,80.0,5085.0,45.0,5385.0,28.16322,22.03758,122.19462,3.24993,397.1239613766,100.0,100.0,234.7423
8,40.0,0.6870799999999996,29.762,37.91099,37.44099,27.72712,39.0892,100.0,1826.0,13859.0,80.0,5085.0,45.0,5385.0,29.38621,22.24853,120.57708,3.22592,388.9720139136,100.0,100.0,234.6802
9,45.0,0.6870799999999996,29.762,40.28498,39.79399,25.79498,38.94424,100.0,1750.0,13850.0,80.0,5100.0,45.0,5385.0,30.708,22.41409,120.8197,3.22485,389.625409545,100.0,100.0,234.7008
10,50.0,0.6850800000000007,29.76,42.51399,42.02799,24.374,38.49983,100.0,1752.0,13838.0,80.0,5085.0,45.0,5385.0,31.72805,22.60368,119.40829,3.16227,377.6012532183,100.0,100.0,234.7394
11,55.0,0.6850800000000007,29.76,44.58299,44.08299,22.87101,38.19656,100.0,1659.0,13832.0,80.0,5085.0,45.0,5385.0,32.85491,22.76924,118.36865,3.15953,373.9893007345,100.0,100.0,234.804
12,60.0,0.6850800000000007,29.76,46.58299,46.08299,21.75331,38.33007,100.0,1582.0,13812.0,80.0,5085.0,45.0,5385.0,33.68537,22.94815,121.0669,3.23628,391.806387132,100.0,100.0,234.8398
13,65.0,0.6870799999999996,29.762,48.35099,48.02699,20.58792,37.72926,100.0,1750.0,13797.0,80.0,5085.0,45.0,5400.0,34.60662,23.06831,121.072,3.21487,389.23074064,100.0,100.0,234.7464
14,70.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
15,75.0,0.6850800000000007,29.76,50.08099,49.94398,19.81925,37.64152,100.0,1733.0,13797.0,80.0,5085.0,45.0,5385.0,35.27954,23.26324,119.88746,3.17161,380.2362670106,100.0,100.0,234.6845
16,80.0,0.6850800000000007,29.76,51.70199,51.72898,18.92471,37.41073,100.0,1714.0,13799.0,80.0,5085.0,45.0,5385.0,36.04057,23.38073,119.25073,3.15319,376.0202093287,100.0,100.0,234.6807
17,85.0,0.6850800000000007,29.76,53.23599,53.39399,18.1694,36.96441,100.0,1714.0,13798.0,80.0,5085.0,45.0,5385.0,36.60133,23.53561,120.86051,3.21594,388.6801485294,100.0,100.0,234.7155
18,90.0,0.6850800000000007,29.76,54.75599,54.94499,17.43125,36.44943,100.0,1750.0,13789.0,80.0,5085.0,45.0,5385.0,37.22885,23.67446,117.29614,3.11105,364.914156347,100.0,100.0,234.7869
19,95.0,0.6850800000000007,29.76,56.18899,56.40499,16.78657,36.18049,100.0,1733.0,13779.0,80.0,5085.0,45.0,5385.0,37.69615,23.82934,120.8554,3.21324,388.337405496,100.0,100.0,234.8109
20,100.0,0.6850800000000007,29.76,57.56698,57.78298,16.25633,35.69602,100.0,1677.0,13772.0,80.0,5085.0,45.0,5385.0,38.20617,23.95751,120.13916,3.20892,385.5169533072,100.0,100.0,234.7761
21,105.0,0.6850800000000007,29.76,58.91598,59.13499,15.76232,35.48622,100.0,1389.0,13775.0,80.0,5085.0,45.0,5385.0,38.60137,24.07501,117.23831,3.11857,365.6158764167,100.0,100.0,234.6371
22,110.0,0.6850800000000007,29.76,60.13499,60.45899,15.24162,35.25924,100.0,1733.0,13791.0,80.0,5085.0,45.0,5400.0,39.04998,24.23255,117.86761,3.14091,370.2115549251,100.0,100.0,234.6673
23,115.0,0.6850800000000007,29.76,61.33299,61.72198,14.89257,35.20584,100.0,1714.0,13804.0,80.0,5070.0,45.0,5385.0,39.38644,24.36073,117.63201,3.134,368.65871934,100.0,100.0,234.7549
24,120.0,0.6870799999999996,29.762,62.52699,62.91598,14.49012,34.7042,100.0,1659.0,13801.0,80.0,5085.0,45.0,5400.0,39.74426,24.47021,119.34115,3.18786,380.442878439,100.0,100.0,234.7753
25,125.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
26,130.0,0.6890799999999985,29.764,63.69398,64.0,14.08386,34.36279,100.0,1733.0,13783.0,80.0,5085.0,45.0,5385.0,40.05401,24.55833,117.56124,3.11341,366.0163402284,100.0,100.0,234.8351
27,135.0,0.6870799999999996,29.762,64.75,65.08299,13.72146,34.10339,100.0,1887.0,13768.0,80.0,5085.0,45.0,5385.0,40.39047,24.69985,117.46945,3.12622,367.235343979,100.0,100.0,234.8076
28,140.0,0.6850800000000007,29.76,65.77699,66.11399,13.51547,33.83827,100.0,1714.0,13769.0,80.0,5070.0,45.0,5370.0,40.64414,24.82269,117.56387,3.11216,365.8775736592,100.0,100.0,234.7194
29,145.0,0.6850800000000007,29.76,66.79998,67.17098,13.23318,33.91647,100.0,1642.0,13783.0,80.0,5070.0,45.0,5400.0,40.9272,24.94018,120.88346,3.22795,390.205764707,100.0,100.0,234.6996
30,150.0,0.6850800000000007,29.76,67.68499,68.23498,12.98522,33.68759,100.0,1733.0,13803.0,80.0,5085.0,45.0,5385.0,41.19689,25.05233,120.97267,3.21905,389.4170733635,100.0,100.0,234.705
31,155.0,0.6850800000000007,29.76,68.55799,69.31399,12.79449,33.30039,100.0,1750.0,13816.0,80.0,5070.0,45.0,5400.0,41.42387,25.18051,120.68951,3.21527,388.0493608177,100.0,100.0,234.7616
32,160.0,0.6850800000000007,29.76,69.45698,70.29399,12.54272,33.1192,100.0,1714.0,13814.0,80.0,5070.0,45.0,5385.0,41.65618,25.23925,121.25009,3.22485,391.0133527365,100.0,100.0,234.8212
33,165.0,0.6870799999999996,29.762,70.29399,71.27198,12.35771,33.02764,100.0,1696.0,13792.0,80.0,5070.0,45.0,5400.0,41.88049,25.31402,120.78143,3.21702,388.5562759386,100.0,100.0,234.8452
34,170.0,0.6850800000000007,29.76,71.05999,72.26399,12.16316,32.64808,100.0,1733.0,13779.0,80.0,5070.0,45.0,5400.0,42.08343,25.41816,118.48316,3.15747,374.1070232052,100.0,100.0,234.7716
35,175.0,0.6850800000000007,29.76,71.81799,73.18699,12.01248,32.25898,100.0,1714.0,13784.0,80.0,5070.0,45.0,5385.0,42.27569,25.53298,120.77377,3.20973,387.6511927821,100.0,100.0,234.6971
36,180.0,0.6850800000000007,29.76,72.52899,74.08999,11.89994,32.38296,100.0,1655.0,13798.0,80.0,5070.0,45.0,5400.0,42.46261,25.61843,118.0949,3.11968,368.418297632,100.0,100.0,234.7161
37,185.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
38,190.0,0.6850800000000007,29.76,73.25,74.96899,11.71112,32.3143,100.0,1483.0,13814.0,80.0,5085.0,45.0,5385.0,42.60681,25.74928,117.41696,3.11927,366.2552008192,100.0,100.0,234.7633
39,195.0,0.6850800000000007,29.76,73.90599,75.84298,11.64054,32.16361,100.0,1768.0,13825.0,80.0,5085.0,45.0,5400.0,42.79907,25.80001,119.13177,3.17366,378.0837331782,100.0,100.0,234.8036
40,200.0,0.6870799999999996,29.762,74.51499,76.75,11.45172,31.74591,100.0,1750.0,13822.0,80.0,5070.0,45.0,5385.0,42.92991,25.91217,117.86238,3.10588,366.0664087944,100.0,100.0,234.8343
41,205.0,0.6850800000000007,29.76,75.125,77.57998,11.37351,31.744,100.0,1677.0,13809.0,80.0,5055.0,45.0,5385.0,43.08746,25.97091,118.52738,3.12915,370.889951127,100.0,100.0,234.7652
42,210.0,0.6850800000000007,29.76,75.68699,78.48298,11.23809,31.44454,100.0,1731.0,13802.0,80.0,5070.0,45.0,5400.0,43.21029,26.08039,118.1784,3.14533,371.710066872,100.0,100.0,234.6832
43,215.0,0.6870799999999996,29.762,76.375,79.23298,11.15417,31.54182,100.0,1714.0,13803.0,80.0,5055.0,45.0,5400.0,43.37852,26.16317,118.15492,3.12303,369.0013598076,100.0,100.0,234.7558
44,220.0,0.6850800000000007,29.76,77.03199,79.86599,11.17897,31.86798,100.0,1714.0,13806.0,80.0,5070.0,45.0,5400.0,43.47198,26.24595,120.09553,3.19602,383.8277157906,100.0,100.0,234.7702
45,225.0,0.6850800000000007,29.76,77.64498,80.53298,11.17134,32.0549,100.0,1677.0,13815.0,80.0,5085.0,45.0,5400.0,43.60549,26.29135,119.35923,3.13829,374.5838779167,100.0,100.0,234.8123
46,230.0,0.6850800000000007,29.76,78.28999,81.23298,11.13891,32.15026,0.0,0.0,13822.0,80.0,5070.0,45.0,5400.0,43.71231,26.34208,118.12882,3.07551,363.3063671982,100.0,100.0,234.8062
47,235.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
48,240.0,0.6850800000000007,29.76,78.77398,81.86599,11.15798,32.02056,0.0,0.0,13823.0,80.0,5070.0,45.0,5400.0,43.80043,26.38748,117.3907,3.05667,358.824630969,100.0,100.0,234.8146
49,245.0,0.6850800000000007,29.76,79.29998,82.55099,11.08169,31.96144,0.0,0.0,13823.0,80.0,5070.0,45.0,5400.0,43.90724,26.4302,120.19816,3.1499,378.612184184,100.0,100.0,234.8093
50,250.0,0.6850800000000007,29.76,79.76599,83.24099,11.07215,31.78977,0.0,0.0,13823.0,80.0,5070.0,45.0,5400.0,43.98735,26.49162,120.36216,3.15444,379.6752119904,100.0,100.0,234.7951
