,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.6480000000000026,29.338,22.26899,22.22999,34.59358,37.80746,100.0,1714.0,13312.0,0.0,0.0,15.0,1620.0,22.53158,22.53425,119.83602,2.50167,299.7901761534,100.0,0.0
1,5.0,0.6480000000000026,29.338,22.34599,22.19198,34.4429,37.69874,100.0,1866.0,13330.0,80.0,5025.0,45.0,5490.0,22.54226,22.53158,118.56639,3.48258,412.9169384862,100.0,100.0
2,10.0,0.6520000000000004,29.342,23.15299,23.0,34.30366,36.9358,100.0,1772.0,13126.0,80.0,4995.0,45.0,5415.0,22.56362,22.53158,116.59503,3.26354,380.5125442062,100.0,100.0
3,15.0,0.6480000000000026,29.338,24.85099,24.66598,34.15489,36.36741,100.0,1768.0,13117.0,80.0,5025.0,45.0,5430.0,23.05496,22.52891,116.6109,3.19522,372.597479898,100.0,100.0
4,20.0,0.6480000000000026,29.338,27.10299,26.82099,33.75625,36.13853,100.0,1875.0,13099.0,80.0,5025.0,45.0,5415.0,23.88542,22.593,119.66873,3.25314,389.2991323122,100.0,100.0
5,25.0,0.6480000000000026,29.338,29.5,29.16598,32.835,36.14807,100.0,1659.0,13085.0,80.0,5040.0,45.0,5430.0,25.00961,22.72384,117.96694,3.17913,375.03223796219993,100.0,100.0
6,30.0,0.6480000000000026,29.338,31.90299,31.54798,31.20994,36.47804,100.0,1750.0,13072.0,80.0,5025.0,45.0,5430.0,26.4756,22.84133,119.94145,3.23117,387.5512149965001,100.0,100.0
7,35.0,0.6480000000000026,29.338,34.28099,33.84298,29.63256,36.43226,100.0,1752.0,13054.0,80.0,5040.0,45.0,5430.0,27.72796,22.99354,118.01135,3.19834,377.440421159,100.0,100.0
8,40.0,0.6480000000000026,29.338,36.54499,36.05999,27.99415,36.02218,100.0,1752.0,13035.0,80.0,5025.0,45.0,5430.0,28.95896,23.16711,119.15246,3.22875,384.713505225,100.0,100.0
9,45.0,0.6480000000000026,29.338,38.64698,38.17599,26.36909,35.95924,100.0,1772.0,13020.0,80.0,5040.0,45.0,5430.0,30.11787,23.32733,117.10415,3.13552,367.182404408,100.0,100.0
10,50.0,0.6480000000000026,29.338,40.68499,40.17098,24.92332,35.48049,100.0,1733.0,13007.0,80.0,5025.0,45.0,5430.0,31.1753,23.51959,116.56594,3.13053,364.9131721482,100.0,100.0
11,55.0,0.6480000000000026,29.338,42.57099,42.02799,23.4127,35.16769,100.0,1714.0,12992.0,80.0,5025.0,45.0,5430.0,32.32353,23.71719,119.11106,3.19154,380.1477124324,100.0,100.0
12,60.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
13,65.0,0.6480000000000026,29.338,44.41598,43.75,22.2969,34.68894,100.0,1768.0,12989.0,80.0,5040.0,45.0,5415.0,33.19404,23.85337,119.41346,3.20445,382.654461897,100.0,100.0
14,70.0,0.6480000000000026,29.338,46.19398,45.27699,21.34513,34.24644,100.0,1772.0,12991.0,80.0,5025.0,45.0,5430.0,34.00314,23.97888,118.36604,3.16653,374.8096166412,100.0,100.0
15,75.0,0.6480000000000026,29.338,47.89099,46.75,20.44677,34.10911,100.0,1750.0,12990.0,80.0,5025.0,45.0,5430.0,34.71878,24.17648,119.76141,3.21392,384.9035908272,100.0,100.0
16,80.0,0.6480000000000026,29.338,49.5,48.10798,19.74105,33.83827,100.0,1750.0,12985.0,80.0,5010.0,45.0,5430.0,35.39436,24.33403,118.61576,3.17079,376.1056656504,100.0,100.0
17,85.0,0.6480000000000026,29.338,51,49.38798,18.90945,33.5102,100.0,1731.0,12978.0,80.0,5010.0,45.0,5430.0,36.11267,24.49157,116.70866,3.1369,366.103395554,100.0,100.0
18,90.0,0.6480000000000026,29.338,52.45899,50.62098,18.24569,33.3538,100.0,1696.0,12966.0,80.0,5025.0,45.0,5430.0,36.6574,24.64111,119.29466,3.1948,381.122579768,100.0,100.0
19,95.0,0.6480000000000026,29.338,53.86799,51.75599,17.65251,33.06198,100.0,1548.0,12957.0,80.0,5025.0,45.0,5445.0,37.14874,24.80133,119.8926,3.22511,386.666823186,100.0,100.0
20,100.0,0.6480000000000026,29.338,55.24299,52.83699,17.11082,32.89413,100.0,1772.0,12953.0,80.0,5010.0,45.0,5430.0,37.6107,24.98023,118.81829,3.17324,377.0389505596,100.0,100.0
21,105.0,0.6480000000000026,29.338,56.59399,53.73599,16.57104,32.45353,100.0,1750.0,12958.0,80.0,5025.0,45.0,5445.0,38.16612,25.08171,118.89349,3.20945,381.5827114805,100.0,100.0
22,110.0,0.6480000000000026,29.338,57.86399,54.64799,16.18194,32.12356,100.0,1733.0,12965.0,80.0,5010.0,45.0,5430.0,38.53729,25.23658,117.30928,3.15527,370.1424519056,100.0,100.0
23,115.0,0.6480000000000026,29.338,59.13499,55.48599,15.73944,31.81457,100.0,1752.0,12968.0,80.0,5025.0,45.0,5445.0,38.91113,25.34072,119.48829,3.19372,381.6121415388,100.0,100.0
24,120.0,0.6480000000000026,29.338,60.32398,56.32398,15.41328,31.67152,100.0,1750.0,12965.0,80.0,5025.0,45.0,5430.0,39.25292,25.47691,118.46495,3.16104,374.472445548,100.0,100.0
25,125.0,0.6480000000000026,29.338,61.5,57.10798,15.06805,31.41212,100.0,1695.0,12956.0,80.0,5025.0,45.0,5430.0,39.60273,25.62911,119.65843,3.22525,385.9283513575,100.0,100.0
