,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.5359000000000018,30.352,22.15299,,35.49957,38.61808,100.0,1731.0,14515.0,0.0,0.0,15.0,1635.0,22.12036,21.93344,119.42893,2.10179,251.0145307847,100.0,0.0
1,5.0,0.5359000000000018,30.352,22.19198,22.19198,35.53009,38.16413,100.0,1978.0,14527.0,80.0,4995.0,45.0,5490.0,22.11769,21.9094,117.00144,3.40769,398.7046370736,100.0,100.0
2,10.0,0.5359000000000018,30.352,22.96099,22.92298,35.53199,37.48893,100.0,1787.0,14331.0,80.0,4995.0,45.0,5415.0,22.16842,21.93077,116.77203,3.30047,385.4025818541,100.0,100.0
3,15.0,0.5359000000000018,30.352,24.66598,24.51799,35.41755,37.16087,100.0,1733.0,14321.0,80.0,5010.0,45.0,5415.0,22.6651,21.95747,117.73155,3.26315,384.1757073825,100.0,100.0
4,20.0,0.5359000000000018,30.352,26.89199,26.64199,34.91973,37.00256,100.0,1642.0,14301.0,80.0,5025.0,45.0,5430.0,23.56231,22.08831,115.93756,3.17462,368.0576967272,100.0,100.0
5,25.0,0.5359000000000018,30.352,29.29998,28.93099,33.85353,36.90147,100.0,1695.0,14269.0,80.0,5025.0,45.0,5415.0,24.67849,22.20314,118.83903,3.22323,383.0455266669,100.0,100.0
6,30.0,0.5359000000000018,30.352,31.70899,31.25799,32.29713,36.54861,100.0,1714.0,14254.0,80.0,5040.0,45.0,5430.0,25.89881,22.38739,116.45748,3.13995,365.670664326,100.0,100.0
7,35.0,0.5359000000000018,30.352,34.06199,33.46798,30.59005,36.29493,100.0,1617.0,14237.0,80.0,5025.0,45.0,5415.0,27.18322,22.55294,117.48518,3.16529,371.8746654022,100.0,100.0
8,40.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
9,45.0,0.5359000000000018,30.352,36.39299,35.57499,28.59497,36.40937,100.0,1677.0,14233.0,80.0,5040.0,45.0,5430.0,28.64654,22.76924,115.78858,3.12637,361.9979428546,100.0,100.0
