,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.5293800000000017,30.32,22.57598,22.5,31.46934,36.30065,5.0,1313.0,14506.0,0.0,0.0,15.0,1620.0,21.8106,21.19911,115.84446,2.44903,283.7065578738,100.0,0.0
1,5.0,0.5293800000000017,30.32,22.61499,22.53799,31.44836,36.34452,100.0,1826.0,14326.0,80.0,4980.0,45.0,5475.0,21.81861,21.2178,116.89602,3.42625,400.514988525,100.0,100.0
2,10.0,0.5293800000000017,30.32,23.65299,23.53799,31.56852,35.09712,100.0,1772.0,14317.0,80.0,4995.0,45.0,5415.0,21.85066,21.22848,118.68331,3.31347,393.2535871857,100.0,100.0
3,15.0,0.5293800000000017,30.32,25.40699,25.22198,31.67533,34.53063,100.0,1731.0,14307.0,80.0,5025.0,45.0,5430.0,22.46749,21.28189,117.54026,3.2208,378.573669408,100.0,100.0
4,20.0,0.5293800000000017,30.32,27.68899,27.37899,31.21185,34.4181,100.0,1733.0,14284.0,80.0,5025.0,45.0,5415.0,23.38874,21.36734,118.65473,3.24404,384.9206903092,100.0,100.0
5,25.0,0.5293800000000017,30.32,30.03298,29.69999,30.22384,34.43527,100.0,1714.0,14266.0,80.0,5040.0,45.0,5415.0,24.51026,21.5142,115.58609,3.1322,362.038751098,100.0,100.0
6,30.0,0.5293800000000017,30.32,32.45098,32.0,28.89633,34.28268,100.0,1659.0,14240.0,80.0,5040.0,45.0,5415.0,25.74661,21.67709,118.7586,3.21838,382.210303068,100.0,100.0
7,35.0,0.5293800000000017,30.32,34.75,34.18699,27.31513,34.10911,100.0,1695.0,14225.0,80.0,5025.0,45.0,5415.0,26.9963,21.86935,115.91098,3.12789,362.5567952322,100.0,100.0
8,40.0,0.5293800000000017,30.32,37,36.27198,25.44021,33.80775,100.0,1714.0,14215.0,80.0,5025.0,45.0,5430.0,28.44093,22.07496,118.44934,3.19616,378.5830425344,100.0,100.0
9,45.0,0.5273800000000028,30.318,39.14698,38.23498,24.04403,33.67805,100.0,1714.0,14212.0,80.0,5040.0,45.0,5430.0,29.55444,22.26455,116.30917,3.12817,363.8348563189,100.0,100.0
10,50.0,0.5273800000000028,30.318,41.17098,40.08499,22.77374,33.41484,100.0,1733.0,14207.0,80.0,5040.0,45.0,5415.0,30.60653,22.46749,118.76379,3.2104,381.279271416,100.0,100.0
11,55.0,0.5293800000000017,30.32,43.02699,41.79998,21.71516,33.24699,100.0,1752.0,14195.0,80.0,5025.0,45.0,5430.0,31.49841,22.65975,115.53274,3.10978,359.28140419720006,100.0,100.0
12,60.0,0.5293800000000017,30.32,44.80499,43.44398,20.70808,32.74345,100.0,1695.0,14186.0,80.0,5025.0,45.0,5430.0,32.38227,22.86537,116.61354,3.13191,365.2231120614,100.0,100.0
13,65.0,0.5293800000000017,30.32,46.47198,44.94398,19.71244,32.32192,100.0,1636.0,14170.0,80.0,5025.0,45.0,5430.0,33.32221,23.02024,115.8764,3.13288,363.026856032,100.0,100.0
14,70.0,0.5293800000000017,30.32,48.10798,46.33299,18.98384,32.06634,100.0,1752.0,14161.0,80.0,5025.0,45.0,5430.0,34.01382,23.18046,115.49005,3.11314,359.536694257,100.0,100.0
15,75.0,0.5293800000000017,30.32,49.66598,47.67498,18.21899,31.63146,100.0,1714.0,14155.0,80.0,5025.0,45.0,5430.0,34.67605,23.37005,117.23304,3.1779,372.554877816,100.0,100.0
16,80.0,0.5293800000000017,30.32,51.21598,48.89099,17.55714,31.46553,100.0,1677.0,14162.0,80.0,5040.0,45.0,5430.0,35.26351,23.56498,119.11366,3.20701,381.9986987566,100.0,100.0
17,85.0,0.5273800000000028,30.318,52.67498,50.02699,16.8457,31.51893,100.0,1731.0,14175.0,80.0,5025.0,45.0,5430.0,35.92041,23.70651,119.30499,3.22148,384.3386391852,100.0,100.0
18,90.0,0.5273800000000028,30.318,54.05398,51.10798,16.37458,31.28814,100.0,1731.0,14176.0,80.0,5025.0,45.0,5400.0,36.4064,23.87741,116.00401,3.12039,361.9777527639,100.0,100.0
19,95.0,0.5273800000000028,30.318,55.37799,52.10798,15.90156,30.85899,100.0,1677.0,14170.0,80.0,5025.0,45.0,5430.0,36.88171,24.03495,117.04623,3.13482,366.9188627286,100.0,100.0
20,100.0,0.5273800000000028,30.318,56.64799,53.05198,15.46287,30.48133,100.0,1565.0,14162.0,80.0,5025.0,45.0,5430.0,37.30628,24.16847,116.98037,3.16268,369.9714765916,100.0,100.0
21,105.0,0.5293800000000017,30.32,57.89099,54.0,15.1062,30.2391,100.0,1714.0,14148.0,80.0,5025.0,45.0,5430.0,37.72018,24.31533,114.97647,3.09677,356.0556830019,100.0,100.0
22,110.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
23,115.0,0.5293800000000017,30.32,59.05398,54.97198,14.70756,29.90913,100.0,1714.0,14145.0,80.0,5025.0,45.0,5430.0,38.08868,24.45419,118.70408,3.21121,381.1837287368,100.0,100.0
24,120.0,0.5293800000000017,30.32,60.16198,55.86399,14.29748,29.70123,100.0,1677.0,14152.0,80.0,5025.0,45.0,5430.0,38.48388,24.60105,115.91894,3.11383,360.9518729402,100.0,100.0
25,125.0,0.5273800000000028,30.318,61.30499,56.67498,13.99612,29.61349,100.0,1714.0,14161.0,80.0,5025.0,45.0,5430.0,38.81767,24.71054,118.97901,3.20701,381.5668748601,100.0,100.0
26,130.0,0.5273800000000028,30.318,62.33299,57.37799,13.72718,29.51431,100.0,1714.0,14167.0,80.0,5025.0,45.0,5445.0,39.10606,24.80667,115.63674,3.10237,358.74795307380003,100.0,100.0
27,135.0,0.5273800000000028,30.318,63.38798,58.05499,13.49067,29.54864,100.0,1677.0,14162.0,80.0,5025.0,45.0,5430.0,39.39445,24.92416,115.12113,3.0979,356.633748627,100.0,100.0
28,140.0,0.5293800000000017,30.32,64.38798,58.75,13.20457,29.31022,100.0,1752.0,14150.0,80.0,5010.0,45.0,5430.0,39.7042,25.04699,118.76119,3.20837,381.0298391603,100.0,100.0
29,145.0,0.5293800000000017,30.32,65.36099,59.35099,12.98522,28.90205,100.0,1714.0,14149.0,80.0,5025.0,45.0,5430.0,39.94987,25.12977,116.10758,3.13899,364.4605325442,100.0,100.0
30,150.0,0.5293800000000017,30.32,66.28498,59.94499,12.78495,28.77426,100.0,1696.0,14145.0,80.0,5010.0,45.0,5445.0,40.17684,25.25527,117.58222,3.14962,370.3393117564,100.0,100.0
31,155.0,0.5293800000000017,30.32,67.19999,60.53999,12.57896,28.87916,100.0,1731.0,14146.0,80.0,5010.0,45.0,5430.0,40.39581,25.41015,117.12783,3.13247,366.8994136401,100.0,100.0
32,160.0,0.5293800000000017,30.32,68.05799,61.11099,12.40348,28.71322,100.0,1714.0,14152.0,80.0,5010.0,45.0,5430.0,40.60142,25.53031,116.65582,3.15292,367.8064679944,100.0,100.0
