,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.6006400000000015,29.34,21.91999,21.79998,38.68675,42.71888,100.0,1625.0,13301.0,0.0,0.0,15.0,1620.0,21.69578,21.10832,117.56912,2.44992,288.0349384704,100.0,0.0
1,5.0,0.6006400000000015,29.34,21.95999,21.87998,38.62953,42.59681,100.0,1846.0,13315.0,80.0,5025.0,45.0,5490.0,21.71714,21.11366,118.96865,3.45516,411.055720734,100.0,100.0
2,10.0,0.6006400000000015,29.34,22.76899,22.65299,38.61427,41.75949,100.0,1787.0,13117.0,80.0,4995.0,45.0,5415.0,21.75186,21.11366,117.23568,3.30033,386.91643177440005,100.0,100.0
3,15.0,0.6006400000000015,29.34,24.55499,24.33299,38.5704,41.29791,100.0,1768.0,13114.0,80.0,5025.0,45.0,5415.0,22.21115,21.14837,119.64811,3.30429,395.3520533919,100.0,100.0
4,20.0,0.6006400000000015,29.34,26.75,26.5,38.14888,40.94696,100.0,1768.0,13106.0,80.0,5040.0,45.0,5415.0,23.07098,21.27922,120.24174,3.28358,394.8233726292,100.0,100.0
5,25.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
6,30.0,0.6006400000000015,29.34,29.19999,28.82699,37.13417,40.86303,100.0,1768.0,13092.0,80.0,5025.0,45.0,5430.0,24.19517,21.3887,117.31715,3.19032,374.279249988,100.0,100.0
7,35.0,0.6006400000000015,29.34,31.61199,31.22499,35.01701,40.69519,100.0,1655.0,13069.0,80.0,5025.0,45.0,5430.0,25.67718,21.55426,116.73506,3.15292,368.0563053752,100.0,100.0
8,40.0,0.6006400000000015,29.34,34.03099,33.5,33.04862,40.63415,100.0,1768.0,13044.0,80.0,5040.0,45.0,5415.0,26.96426,21.75987,118.71966,3.22053,382.3402266198,100.0,100.0
9,45.0,0.6006400000000015,29.34,36.36299,35.63598,31.147,40.40527,100.0,1750.0,13028.0,80.0,5040.0,45.0,5415.0,28.17924,21.94679,117.50093,3.15155,370.3100559415,100.0,100.0
