,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.5600000000000005,28.348,21.59999,21.55999,37.27531,40.42625,100.0,1768.0,12179.0,0.0,0.0,15.0,1620.0,21.57562,21.0469,117.87545,0.10209,12.0339046905,0.0,0.0
1,5.0,0.5600000000000005,28.348,21.67999,21.59999,37.22953,40.6742,100.0,1855.0,12210.0,80.0,5025.0,45.0,5445.0,21.56227,21.06025,117.91467,2.52586,297.8359483662,100.0,100.0
2,10.0,0.5600000000000005,28.348,22.34599,22.34599,37.2467,40.28129,100.0,1806.0,11998.0,80.0,4995.0,45.0,5415.0,21.62635,21.08428,117.23304,3.32798,390.1492124592,100.0,100.0
3,15.0,0.5600000000000005,28.348,24,23.88398,37.17613,39.82543,100.0,1787.0,11966.0,80.0,5010.0,45.0,5415.0,22.07763,21.13235,117.33555,3.22538,378.451736259,100.0,100.0
4,20.0,0.5600000000000005,28.348,26.14199,25.96199,36.68975,39.5832,100.0,1677.0,11943.0,80.0,5025.0,45.0,5415.0,22.91076,21.19644,115.85511,3.15362,365.3629919982,100.0,100.0
5,25.0,0.5600000000000005,28.348,28.48199,28.17199,35.60066,39.43634,100.0,1787.0,11926.0,80.0,5025.0,45.0,5415.0,23.9949,21.30592,116.43896,3.18473,370.8266490808,100.0,100.0
6,30.0,0.5600000000000005,28.348,30.79998,30.5,34.07287,39.44969,100.0,1787.0,11915.0,80.0,5025.0,45.0,5415.0,25.24192,21.49284,118.36604,3.22377,381.5848887708,100.0,100.0
7,35.0,0.5600000000000005,28.348,33.125,32.74099,32.32574,39.15786,100.0,1787.0,11893.0,80.0,5025.0,45.0,5415.0,26.48895,21.66374,118.43893,3.20675,379.8040387775,100.0,100.0
8,40.0,0.5600000000000005,28.348,35.33299,34.90599,30.17616,38.96903,100.0,1806.0,11874.0,80.0,5040.0,45.0,5415.0,27.93624,21.86935,116.07838,3.12483,362.7252041754,100.0,100.0
9,45.0,0.5600000000000005,28.348,37.44099,36.96899,28.53202,38.79737,100.0,1806.0,11858.0,80.0,5025.0,45.0,5415.0,29.0818,22.06428,117.00144,3.18118,372.2026408992,100.0,100.0
10,50.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
11,55.0,0.5600000000000005,28.348,39.38198,38.82299,26.95274,38.28811,100.0,1914.0,11851.0,80.0,5025.0,45.0,5415.0,30.12054,22.24052,116.61618,3.13705,365.830787469,100.0,100.0
12,60.0,0.5600000000000005,28.348,41.31399,40.65699,25.60424,37.8189,100.0,1806.0,11849.0,80.0,5025.0,45.0,5415.0,31.09252,22.45681,117.34342,3.18745,374.026284079,100.0,100.0
13,65.0,0.5600000000000005,28.348,43.13798,42.28498,24.15084,37.56523,100.0,1935.0,11850.0,80.0,5025.0,45.0,5415.0,32.1553,22.63572,115.96679,3.11466,361.1971221414,100.0,100.0
14,70.0,0.5600000000000005,28.348,44.83299,43.83299,23.0751,37.23335,100.0,1806.0,11845.0,80.0,5025.0,45.0,5415.0,32.93769,22.82798,118.40249,3.19195,377.9348279555,100.0,100.0
15,75.0,0.5600000000000005,28.348,46.47198,45.27699,22.1939,36.83662,100.0,1787.0,11834.0,80.0,5025.0,45.0,5415.0,33.68537,22.96951,114.37707,3.0969,354.21434808300006,100.0,100.0
16,80.0,0.5600000000000005,28.348,48,46.61099,21.3356,36.71073,100.0,1806.0,11825.0,80.0,5010.0,45.0,5415.0,34.32624,23.13507,113.83412,3.07212,349.7120767344,100.0,100.0
17,85.0,0.5600000000000005,28.348,49.47198,47.80999,20.62034,36.38076,100.0,1806.0,11821.0,80.0,5025.0,45.0,5415.0,34.91104,23.36204,115.29237,3.13359,361.2790177083,100.0,100.0
18,90.0,0.5600000000000005,28.348,50.89099,48.94499,19.85359,35.95542,100.0,1806.0,11825.0,80.0,5025.0,45.0,5415.0,35.58128,23.50357,113.87742,3.07862,350.5853027604,100.0,100.0
19,95.0,0.5600000000000005,28.348,52.24299,50.0,19.17076,35.59303,100.0,1806.0,11834.0,80.0,5025.0,45.0,5415.0,36.06994,23.63174,115.09973,3.12622,359.8270779206,100.0,100.0
20,100.0,0.5600000000000005,28.348,53.5,50.94499,18.59855,35.25543,100.0,1787.0,11836.0,80.0,5010.0,45.0,5430.0,36.53457,23.78128,114.12887,3.09396,353.11015862520003,100.0,100.0
21,105.0,0.5600000000000005,28.348,54.72898,51.89099,18.07212,34.86442,100.0,1806.0,11828.0,80.0,5025.0,45.0,5430.0,36.94847,23.90144,115.01936,3.09199,355.6387109264,100.0,100.0
22,110.0,0.5600000000000005,28.348,55.89099,52.75599,17.57812,34.65652,100.0,1806.0,11820.0,80.0,5010.0,45.0,5430.0,37.32765,24.06166,117.3408,3.18049,373.201240992,100.0,100.0
23,115.0,0.5600000000000005,28.348,57.05398,53.57798,17.06314,34.45434,100.0,1787.0,11814.0,80.0,5010.0,45.0,5415.0,37.77359,24.17114,114.07214,3.07679,350.9760196306,100.0,100.0
24,120.0,0.5580000000000016,28.346,58.16598,54.37799,16.65306,34.09194,100.0,1787.0,11817.0,80.0,5010.0,45.0,5430.0,38.1047,24.29397,115.83383,3.14341,364.1132195603,100.0,100.0
25,125.0,0.5580000000000016,28.346,59.24299,55.16198,16.31164,33.87069,100.0,1806.0,11825.0,80.0,5010.0,45.0,5430.0,38.43849,24.43283,114.11537,3.08412,351.9454949244,100.0,100.0
26,130.0,0.5580000000000016,28.346,60.29699,55.89099,16.0408,33.66088,100.0,1806.0,11832.0,80.0,5025.0,45.0,5415.0,38.73489,24.53163,116.1819,3.15499,366.552732681,100.0,100.0
27,135.0,0.5580000000000016,28.346,61.30499,56.56698,15.82908,33.54072,100.0,1806.0,11830.0,80.0,5010.0,45.0,5430.0,39.00726,24.67849,117.06202,3.17503,371.6754253606,100.0,100.0
28,140.0,0.5580000000000016,28.346,62.27699,57.24299,15.625,33.4587,100.0,1806.0,11824.0,80.0,5010.0,45.0,5415.0,39.32769,24.80133,114.96842,3.11676,358.3289727192,100.0,100.0
29,145.0,0.5600000000000005,28.348,63.25,57.86399,15.48194,33.41484,100.0,1787.0,11814.0,80.0,5010.0,45.0,5415.0,39.5787,24.93751,116.01197,3.14949,365.3785393953,100.0,100.0
30,150.0,0.5580000000000016,28.346,64.16598,58.52699,15.29121,33.28895,100.0,1768.0,11814.0,80.0,5010.0,45.0,5430.0,39.82704,25.03097,114.12077,3.0772,351.172433444,100.0,100.0
31,155.0,0.5580000000000016,28.346,65.08299,59.13499,15.14816,33.22219,100.0,1806.0,11821.0,80.0,5010.0,45.0,5430.0,40.03799,25.14312,114.24224,3.08961,352.9639671264,100.0,100.0
32,160.0,0.5580000000000016,28.346,65.91598,59.70199,14.94216,33.13064,100.0,1806.0,11826.0,80.0,5025.0,45.0,5430.0,40.25695,25.28198,116.9909,3.151,368.6383259,100.0,100.0
33,165.0,0.5580000000000016,28.346,66.77099,60.24299,14.72282,32.87887,100.0,1806.0,11827.0,80.0,5010.0,45.0,5430.0,40.48927,25.37544,115.78591,3.113,360.44153783,100.0,100.0
34,170.0,0.5580000000000016,28.346,67.62799,60.78298,14.53971,32.67669,100.0,1818.0,11829.0,80.0,5010.0,45.0,5430.0,40.66284,25.50361,114.06134,3.07255,350.459170217,100.0,100.0
35,175.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
36,180.0,0.5560000000000027,28.344,68.44099,61.27699,14.33563,32.50503,100.0,1806.0,11824.0,80.0,5010.0,45.0,5430.0,40.84976,25.5944,116.02261,3.15017,365.4909453437,100.0,100.0
37,185.0,0.5580000000000016,28.346,69.25698,61.77699,14.14871,32.23037,100.0,1787.0,11821.0,80.0,5025.0,45.0,5430.0,40.99395,25.71456,115.63407,3.13899,362.9741893893,100.0,100.0
