,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM,Inductance/10000
0,0.0,0.5444999999999988,28.616,21.15998,21.07998,36.56578,47.4472,100.0,1731.0,12758.0,0.0,0.0,15.0,1605.0,21.53289,20.50216,120.29299,0.11415,13.7314448085,0.0,0.0,234.5616
1,5.0,0.5444999999999988,28.616,21.19999,21.07998,36.56959,46.91314,100.0,1750.0,12771.0,80.0,3855.0,45.0,2460.0,21.53823,20.49949,118.65994,2.50584,297.34282404960004,100.0,0.0,234.5713
2,10.0,0.5444999999999988,28.616,21.71998,21.67999,36.44752,47.0066,100.0,1826.0,12595.0,80.0,5070.0,45.0,5370.0,21.55693,20.53153,116.27206,3.25581,378.5597356686,100.0,100.0,234.5021
3,15.0,0.5444999999999988,28.616,23.42298,23.30699,36.47804,46.4878,100.0,1787.0,12578.0,80.0,5100.0,45.0,5370.0,21.84265,20.53955,115.2897,3.15486,363.722862942,100.0,100.0,234.5416
4,20.0,0.5444999999999988,28.616,25.70298,25.48098,36.20529,46.30279,100.0,1750.0,12570.0,80.0,5115.0,45.0,5370.0,22.7639,20.6063,116.91975,3.18322,372.181286595,100.0,100.0,234.5497
5,25.0,0.5444999999999988,28.616,28.27499,27.96499,35.33172,45.97473,100.0,1768.0,12554.0,80.0,5115.0,45.0,5370.0,23.7973,20.68908,117.37231,3.18118,373.3824451258,100.0,100.0,234.6024
6,30.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
7,35.0,0.5444999999999988,28.616,30.89999,30.46598,33.49876,45.74394,100.0,1768.0,12529.0,80.0,5115.0,45.0,5370.0,25.26329,20.83862,116.05714,3.10643,360.5233814102,100.0,100.0,234.5733
8,40.0,0.5444999999999988,28.616,33.43699,32.90299,31.35108,45.56655,100.0,1750.0,12501.0,80.0,5115.0,45.0,5370.0,26.73461,20.98815,118.22534,3.19154,377.3209016236,100.0,100.0,234.5041
9,45.0,0.5444999999999988,28.616,35.87799,35.30299,29.64401,45.06301,100.0,1787.0,12484.0,80.0,5115.0,45.0,5385.0,27.95761,21.12701,118.24098,3.18432,376.5171174336,100.0,100.0,234.4993
10,50.0,0.5444999999999988,28.616,38.17599,37.64698,27.68707,44.85321,100.0,1909.0,12472.0,80.0,5115.0,45.0,5370.0,29.32479,21.30325,116.07041,3.09439,359.16711599990003,100.0,100.0,234.5663
11,55.0,0.5444999999999988,28.616,40.28498,39.85198,26.16691,44.39926,100.0,1750.0,12475.0,80.0,5115.0,45.0,5370.0,30.36354,21.50085,116.65318,3.10755,362.505589509,100.0,100.0,234.5869
12,60.0,0.5444999999999988,28.616,42.31399,41.91398,24.59907,44.06356,100.0,1714.0,12471.0,80.0,5115.0,45.0,5370.0,31.51977,21.67709,119.06965,3.18882,379.691681313,100.0,100.0,234.6215
13,65.0,0.5444999999999988,28.616,44.19398,43.88798,23.4642,43.53332,100.0,1768.0,12466.0,80.0,5115.0,45.0,5370.0,32.36892,21.85066,115.47937,3.08735,356.5252329695,100.0,100.0,234.567
14,70.0,0.5444999999999988,28.616,46.05499,45.77699,22.26066,43.23768,100.0,1787.0,12461.0,80.0,5100.0,45.0,5385.0,33.30619,22.04025,117.51666,3.12776,367.5639084816,100.0,100.0,234.49
15,75.0,0.5444999999999988,28.616,47.80999,47.59399,21.37184,43.13278,100.0,1768.0,12458.0,80.0,5115.0,45.0,5385.0,34.00047,22.14706,118.18362,3.15017,372.2984942154,100.0,100.0,234.4793
16,80.0,0.5444999999999988,28.616,49.47198,49.25,20.40672,42.593,100.0,1733.0,12461.0,80.0,5100.0,45.0,5370.0,34.77218,22.30995,117.38282,3.12219,366.4914667758,100.0,100.0,234.5317
17,85.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
18,90.0,0.5444999999999988,28.616,51.02699,50.86399,19.70291,42.29736,100.0,1768.0,12459.0,80.0,5115.0,45.0,5370.0,35.35697,22.47817,118.59498,3.16584,375.45273148320007,100.0,100.0,234.5878
19,95.0,0.5444999999999988,28.616,52.51298,52.35099,18.89991,41.77284,100.0,1752.0,12456.0,80.0,5115.0,45.0,5385.0,35.98983,22.59567,115.29772,3.0772,354.794143984,100.0,100.0,234.6152
20,100.0,0.5444999999999988,28.616,53.86799,53.78898,18.27049,41.30744,100.0,1733.0,12454.0,80.0,5115.0,45.0,5370.0,36.47048,22.7185,115.38591,3.09255,356.8366959705,100.0,100.0,234.6128
21,105.0,0.5444999999999988,28.616,55.18899,55.18899,17.73262,41.02897,100.0,1752.0,12451.0,80.0,5100.0,45.0,5370.0,36.93511,22.86537,118.18362,3.1609,373.566604458,100.0,100.0,234.5141
22,110.0,0.5444999999999988,28.616,56.45899,56.53999,17.10319,40.86685,100.0,1768.0,12459.0,80.0,5115.0,45.0,5370.0,37.42645,22.99087,115.55941,3.07411,355.2423378751,100.0,100.0,234.4828
23,115.0,0.5444999999999988,28.616,57.67498,57.86399,16.67404,40.83061,100.0,1768.0,12467.0,80.0,5100.0,45.0,5370.0,37.79762,23.14842,115.19609,3.07057,353.7176580713,100.0,100.0,234.5268
24,120.0,0.5444999999999988,28.616,58.88798,59.13499,16.18957,40.68756,100.0,1731.0,12469.0,80.0,5115.0,45.0,5385.0,38.22753,23.26324,115.05955,3.07086,353.331769713,100.0,100.0,234.5831
25,125.0,0.5444999999999988,28.616,60,60.29699,15.81573,40.30418,100.0,1894.0,12460.0,80.0,5100.0,45.0,5370.0,38.56399,23.36738,116.87756,3.10824,363.2835070944,100.0,100.0,234.6354
26,130.0,0.5444999999999988,28.616,61.11099,61.52699,15.34271,40.01235,100.0,1733.0,12451.0,80.0,5100.0,45.0,5385.0,38.94584,23.43948,118.10795,3.15058,372.108545111,100.0,100.0,234.607
27,135.0,0.5444999999999988,28.616,62.13798,62.61099,14.98985,39.56413,100.0,1714.0,12452.0,80.0,5085.0,45.0,5385.0,39.28497,23.59436,116.55802,3.13136,364.9851215072,100.0,100.0,234.5383
28,140.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
29,145.0,0.5444999999999988,28.616,63.11099,63.69398,14.7171,39.44778,100.0,1659.0,12454.0,80.0,5100.0,45.0,5370.0,39.54666,23.71719,117.22779,3.15278,369.5934317562,100.0,100.0,234.5038
30,150.0,0.5444999999999988,28.616,64,64.75,14.33181,39.5298,100.0,1772.0,12462.0,80.0,5100.0,45.0,5370.0,39.86976,23.82133,115.44467,3.0717,354.611392839,100.0,100.0,234.5365
31,155.0,0.5424999999999999,28.614,64.88798,65.77699,14.15061,39.42108,100.0,1768.0,12465.0,80.0,5115.0,45.0,5370.0,40.08605,23.93615,114.94429,3.06971,352.8456364559,100.0,100.0,234.5919
32,160.0,0.5424999999999999,28.614,65.72198,66.79998,13.98277,39.37721,100.0,1733.0,12465.0,80.0,5100.0,45.0,5385.0,40.36911,23.9949,117.52453,3.15856,371.2082794768,100.0,100.0,234.6435
33,165.0,0.5424999999999999,28.614,66.51399,67.79998,13.84735,39.33906,100.0,1750.0,12459.0,80.0,5085.0,45.0,5385.0,40.57739,24.09904,116.1527,3.11705,362.053773535,100.0,100.0,234.6315
34,170.0,0.5444999999999988,28.616,67.19999,68.76399,13.63372,39.18647,100.0,1787.0,12450.0,80.0,5100.0,45.0,5385.0,40.82572,24.21119,115.09169,3.06788,353.0874939172,100.0,100.0,234.5697
35,175.0,0.5444999999999988,28.616,67.94198,69.74198,13.58032,38.91372,100.0,1750.0,12453.0,80.0,5100.0,45.0,5370.0,40.98327,24.32067,116.63204,3.10237,361.8357419348,100.0,100.0,234.5207
36,180.0,0.5444999999999988,28.616,68.64698,70.67599,13.3953,38.72489,100.0,1714.0,12460.0,80.0,5100.0,45.0,5370.0,41.22627,24.35539,118.52998,3.16969,375.7032923062,100.0,100.0,234.5405
37,185.0,0.5424999999999999,28.614,69.31399,71.57499,13.26751,38.37203,100.0,1750.0,12468.0,80.0,5100.0,45.0,5385.0,41.41586,24.45953,114.94966,3.06378,352.18046931479995,100.0,100.0,234.5792
38,190.0,0.5424999999999999,28.614,69.97099,72.41099,13.09394,38.2862,100.0,1768.0,12477.0,80.0,5100.0,45.0,5370.0,41.60545,24.55032,117.00671,3.1074,363.586650654,100.0,100.0,234.6324
39,195.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
40,200.0,0.5424999999999999,28.614,70.70498,73.18699,12.9261,38.11836,100.0,1750.0,12473.0,80.0,5100.0,45.0,5385.0,41.76834,24.65179,115.86044,3.10504,359.75130061759995,100.0,100.0,234.646
41,205.0,0.5424999999999999,28.614,71.39299,73.96798,12.70484,37.78076,100.0,1731.0,12464.0,80.0,5100.0,45.0,5385.0,41.92855,24.76394,117.57698,3.15486,370.9389111228001,100.0,100.0,234.5938
42,210.0,0.5424999999999999,28.614,72.05799,74.69599,12.62283,37.48321,100.0,1768.0,12460.0,80.0,5100.0,45.0,5385.0,42.05406,24.88143,117.01461,3.13954,367.37204867940005,100.0,100.0,234.5419
43,215.0,0.5424999999999999,28.614,72.64698,75.46798,12.44735,37.23907,100.0,1772.0,12464.0,80.0,5100.0,45.0,5385.0,42.2303,24.98291,115.60475,3.09509,357.8071056775,100.0,100.0,234.5455
44,220.0,0.5424999999999999,28.614,73.21798,76.25,12.26234,36.92436,100.0,1733.0,12472.0,80.0,5085.0,45.0,5385.0,42.33444,25.06301,116.18455,3.08538,358.473486879,100.0,100.0,234.6016
45,225.0,0.5424999999999999,28.614,73.75,77.03199,12.19367,36.85188,100.0,1659.0,12478.0,80.0,5100.0,45.0,5385.0,42.48931,25.15113,118.1497,3.14686,371.800564942,100.0,100.0,234.6602
46,230.0,0.5424999999999999,28.614,74.33299,77.77398,12.06016,36.53335,100.0,1750.0,12479.0,80.0,5085.0,45.0,5385.0,42.60414,25.24192,118.38166,3.15609,373.6231733094,100.0,100.0,234.6375
47,235.0,0.5424999999999999,28.614,74.90899,78.51599,12.01057,36.45515,0.0,0.0,12475.0,80.0,5100.0,45.0,5400.0,42.73231,25.34606,116.6426,3.07806,359.032921356,100.0,100.0,234.6372
48,240.0,0.5424999999999999,28.614,75.46798,79.23298,11.8637,36.14234,0.0,0.0,12475.0,80.0,5100.0,45.0,5385.0,42.87384,25.46089,117.60319,3.08158,362.4036382402,100.0,100.0,234.6461
49,245.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
50,250.0,0.5424999999999999,28.614,75.96798,79.96598,11.79122,35.91156,0.0,0.0,12476.0,80.0,5100.0,45.0,5385.0,42.94059,25.51162,117.33818,3.0796,361.354659128,100.0,100.0,234.6481
51,255.0,0.5424999999999999,28.614,76.43699,80.66598,11.64054,35.52627,0.0,0.0,12478.0,80.0,5085.0,45.0,5385.0,43.0661,25.60775,114.61936,3.02697,346.9493641392,100.0,100.0,234.6445
52,260.0,0.5424999999999999,28.614,76.93699,81.26599,11.61193,35.28213,0.0,0.0,12478.0,80.0,5100.0,45.0,5385.0,43.1462,25.69854,116.32772,3.04885,354.665769122,100.0,100.0,234.6462
53,265.0,0.5424999999999999,28.614,77.38699,81.89999,11.53945,34.94453,0.0,0.0,12480.0,80.0,5100.0,45.0,5385.0,43.25836,25.80268,114.39324,3.01791,345.2285029284,100.0,100.0,234.6527
54,270.0,0.5424999999999999,28.614,77.83799,82.48199,11.48033,34.72709,0.0,0.0,12481.0,80.0,5100.0,45.0,5385.0,43.31176,25.87478,115.28703,3.01921,348.0757538463,100.0,100.0,234.6472
55,275.0,0.5424999999999999,28.614,78.25799,83.06799,11.32774,34.37614,0.0,0.0,12483.0,80.0,5100.0,45.0,5400.0,43.40255,25.97892,117.27249,3.08045,361.2520418205,100.0,100.0,234.6482
56,280.0,0.5424999999999999,28.614,78.67698,83.65499,11.29913,34.2369,0.0,0.0,12483.0,80.0,5085.0,45.0,5385.0,43.488,26.05636,114.42019,3.00248,343.5443320712,100.0,100.0,234.6233
57,285.0,0.5424999999999999,28.614,79.16598,84.17799,11.22093,33.92601,0.0,0.0,12485.0,80.0,5085.0,45.0,5385.0,43.56811,26.13914,114.5225,3.00262,343.86754895,100.0,100.0,234.6188
58,290.0,0.5424999999999999,28.614,79.56599,84.75,11.11984,33.82873,0.0,0.0,12487.0,80.0,5100.0,45.0,5400.0,43.60816,26.22192,115.20144,3.04214,350.4589086816,100.0,100.0,234.6224
59,295.0,0.5424999999999999,28.614,79.96598,85.28498,11.08932,33.54072,0.0,0.0,12487.0,80.0,5100.0,45.0,5385.0,43.66691,26.30737,116.45219,3.0789,358.544647791,100.0,100.0,234.6217
60,300.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
61,305.0,0.5424999999999999,28.614,80.46598,85.85699,11.00158,33.30993,0.0,0.0,12489.0,80.0,5100.0,45.0,5400.0,43.75503,26.39816,117.60581,3.10461,365.1201737841,100.0,100.0,234.6268
62,310.0,0.5424999999999999,28.614,80.86599,86.36999,10.97297,32.99522,0.0,0.0,12491.0,80.0,5100.0,45.0,5400.0,43.83247,26.46492,114.84503,3.03256,348.2744441768,100.0,100.0,234.6137
63,315.0,0.5424999999999999,28.614,81.29998,86.85099,10.91003,32.87315,0.0,0.0,12491.0,80.0,5085.0,45.0,5385.0,43.89389,26.54769,115.65541,3.0561,353.454498501,100.0,100.0,234.6205
64,320.0,0.5424999999999999,28.614,81.69999,87.36999,10.83755,32.72056,0.0,0.0,12493.0,80.0,5085.0,45.0,5400.0,43.93127,26.63848,114.66775,3.00608,344.70042992,100.0,100.0,234.6265
65,325.0,0.5424999999999999,28.614,82.10299,87.81399,10.74981,32.38487,0.0,0.0,12496.0,80.0,5100.0,45.0,5400.0,43.99002,26.69456,117.30665,3.0765,360.893908725,100.0,100.0,234.631
66,330.0,0.5424999999999999,28.614,82.51699,88.34599,10.73455,32.24182,0.0,0.0,12497.0,80.0,5100.0,45.0,5385.0,44.06211,26.76399,116.60032,3.05426,356.1276933632,100.0,100.0,234.6326
67,335.0,0.5424999999999999,28.614,82.93099,88.76899,10.71739,32.02819,0.0,0.0,12499.0,80.0,5100.0,45.0,5385.0,44.13421,26.84677,115.94819,3.06448,355.3209092912,100.0,100.0,234.6344
