,time,Ohaus Water Weight,Ohaus Weight,Bucket Temp,Bucket Temp 2 (Figure out later lol),Intake Air RH,Exhaust RH,Grinder PWM,Grinder RPM,Stable Mass ,Intake Fan PWM,Intake Fan RPM,Exhaust Fan PWM,Exhaust Fan RPM,Intake SHT40,Exhaust SHT40,V_rms ,I_rms,Watts,Bucket Heater PWM,Intake Heater PWM
0,0.0,0.46407999999999977,28.266,22.76899,22.96099,27.75573,34.44671,100.0,1768.0,12172.0,0.0,0.0,15.0,1635.0,22.64907,22.48886,119.08001,0.11415,13.5929831415,0.0,0.0
1,5.0,0.46407999999999977,28.266,22.76899,23.0,27.71759,34.132,100.0,1866.0,12175.0,80.0,5040.0,45.0,5460.0,22.64373,22.45948,118.78715,2.53651,301.3047938465,100.0,0.0
2,10.0,0.46407999999999977,28.266,23.42298,23.61499,27.65464,33.88786,100.0,1806.0,11992.0,80.0,5025.0,45.0,5430.0,22.6464,22.48352,118.83645,3.34349,397.3284822105,100.0,100.0
3,15.0,0.46407999999999977,28.266,25,25.14799,27.52876,32.74536,100.0,1787.0,11987.0,80.0,5040.0,45.0,5430.0,23.04428,22.47283,119.81288,3.29954,395.3273900752,100.0,100.0
4,20.0,0.46407999999999977,28.266,27.17199,27.17199,27.18162,31.68678,100.0,1768.0,11970.0,80.0,5040.0,45.0,5430.0,23.81866,22.58499,117.30665,3.17817,372.8204758305,100.0,100.0
5,25.0,0.46407999999999977,28.266,29.53298,29.46598,26.41487,31.52275,100.0,1806.0,11943.0,80.0,5055.0,45.0,5430.0,24.88677,22.67311,117.15414,3.16282,370.5374570748,100.0,100.0
6,30.0,0.4620800000000009,28.264,31.96699,31.80599,25.03204,31.49604,100.0,1806.0,11916.0,80.0,5070.0,45.0,5430.0,26.34475,22.8173,115.28436,3.1208,359.77943068800005,100.0,100.0
7,35.0,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
8,40.0,0.46407999999999977,28.266,34.28099,34.125,23.68736,31.23474,100.0,1787.0,11894.0,80.0,5055.0,45.0,5445.0,27.62649,22.96684,116.46012,3.12872,364.3711066464,100.0,100.0
9,45.0,0.46407999999999977,28.266,36.54499,36.30299,22.42088,30.77316,100.0,1806.0,11886.0,80.0,5040.0,45.0,5430.0,28.85482,23.15109,118.75341,3.20376,380.4574248216,100.0,100.0
