"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM"
1710548010000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1710548015000,1.4619999999999997,0.46407999999999977,28.266,22.72999,22.96099,28.04756,34.81483,100,1787,12152,0,0,15,1635,22.52357,22.20046,120.87071,0.12152,14.6882086792,0,0
1710548020000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23.03799,27.98652,34.54399,100,1787,12158,0,0,15,1620,22.53692,22.20046,120.82479,0.11788,14.2428262452,0,0
1710548025000,1.4619999999999997,0.46407999999999977,28.266,22.69198,23,28.01704,34.42192,100,1806,12160,0,0,15,1635,22.55027,22.20848,122.43403,0.12504,15.309151111200002,0,0
1710548030000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,27.97126,34.69467,100,1787,12158,0,0,15,1635,22.50755,22.22717,121.08982,0.11788,14.2740679816,0,0
1710548035000,1.4619999999999997,0.46407999999999977,28.266,22.69198,23,27.99606,34.79766,100,1935,12154,0,0,15,1635,22.51022,22.23251,119.60432,0.11788,14.0989572416,0,0
1710548040000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23.03799,28.04374,34.70993,100,1787,12149,0,0,15,1635,22.5209,22.22717,119.19902,0.11788,14.0511804776,0,0
1710548045000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,27.9808,34.63554,100,1787,12147,0,0,15,1635,22.53425,22.22717,120.61032,0.11788,14.2175445216,0,0
1710548050000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,27.99797,34.29985,100,1806,12152,0,0,15,1635,22.52624,22.24586,119.3515,0.11788,14.06915482,0,0
1710548055000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.02467,34.17587,100,1806,12164,0,0,15,1620,22.52624,22.24853,122.01287,0.12152,14.827003962400001,0,0
1710548060000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.04565,34.60121,100,1806,12165,0,0,15,1620,22.50488,22.24853,120.18276,0.12152,14.604608995200001,0,0
1710548065000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.05328,34.87968,100,1806,12157,0,0,15,1620,22.50755,22.27256,121.21449,0.11788,14.2887640812,0,0
1710548070000,1.4619999999999997,0.46407999999999977,28.266,22.69198,23.03799,28.03611,34.79766,100,1787,12150,0,0,15,1620,22.52357,22.27523,119.49603,0.12152,14.521157565600001,0,0
1710548075000,1.4619999999999997,0.46407999999999977,28.266,22.76899,23,28.05709,34.87014,100,1787,12145,0,0,15,1635,22.55294,22.26455,122.04318,0.12152,14.8306872336,0,0
1710548080000,1.4619999999999997,0.46407999999999977,28.266,22.76899,23,28.02276,34.90638,100,1714,12151,0,0,15,1635,22.50488,22.27523,119.86431,0.12152,14.565910951200001,0,0
1710548085000,1.4619999999999997,0.46407999999999977,28.266,22.72999,22.96099,28.03802,34.74617,100,1806,12162,0,0,15,1635,22.54226,22.28858,121.08982,0.11788,14.2740679816,0,0
1710548090000,1.4619999999999997,0.46407999999999977,28.266,22.72999,22.96099,28.04946,34.80148,100,1793,12171,0,0,15,1635,22.54493,22.30461,122.71566,0.12152,14.9124070032,0,0
1710548095000,1.4619999999999997,0.46407999999999977,28.266,22.72999,22.96099,28.03802,34.84535,100,1752,12167,0,0,15,1635,22.54226,22.28324,119.51924,0.11415,13.643121246,0,0
1710548100000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1710548105000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.00369,34.69276,100,1787,12157,0,0,15,1635,22.5209,22.30728,120.54641,0.11788,14.2100108108,0,0
1710548110000,1.4619999999999997,0.46407999999999977,28.266,22.76899,23,28.03611,34.7023,0,0,12154,0,0,15,1635,22.53425,22.29927,119.8386,0.05894,7.063287084,0,0
1710548115000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.04565,34.73663,100,1826,12150,0,0,15,1620,22.55561,22.30194,119.65327,0.11027,13.1941660829,0,0
1710548120000,1.4619999999999997,0.46407999999999977,28.266,22.76899,23,28.02085,34.73281,100,1772,12153,0,0,15,1635,22.54493,22.30194,119.4212,0.11027,13.168575724,0,0
1710548125000,1.4619999999999997,0.46407999999999977,28.266,22.69198,23,28.05709,34.78431,100,1787,12159,0,0,15,1635,22.55027,22.30995,120.49781,0.11027,13.287293508700001,0,0
1710548130000,1.4600000000000009,0.4620800000000009,28.264,22.72999,23,28.04756,34.81674,100,1768,12163,0,0,15,1635,22.56629,22.31796,122.98664,0.11788,14.4976651232,0,0
1710548135000,1.4619999999999997,0.46407999999999977,28.266,22.69198,22.96099,28.04374,34.50775,100,1752,12163,0,0,15,1635,22.52624,22.32864,121.72959,0.11415,13.8954326985,0,0
1710548140000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.06282,34.29031,100,1787,12157,0,0,15,1620,22.53692,22.33932,122.91645,0.11788,14.489391126,0,0
1710548145000,1.4619999999999997,0.46407999999999977,28.266,22.76899,22.96099,28.05328,34.69848,100,1768,12153,0,0,15,1620,22.56095,22.3233,121.80554,0.11415,13.904102390999999,0,0
1710548150000,1.4619999999999997,0.46407999999999977,28.266,22.76899,22.96099,28.03993,34.6508,100,1733,12153,0,0,15,1620,22.55828,22.35267,122.19967,0.12152,14.8497038984,0,0
1710548155000,1.4619999999999997,0.46407999999999977,28.266,22.72999,23,28.06472,34.14535,100,1787,12158,0,0,15,1635,22.5476,22.35534,122.63024,0.11788,14.4556526912,0,0
