"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1709772555000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709772560000,1.6559999999999988,0.5444999999999988,28.616,21.11999,21.07998,36.72409,46.77772,100,1768,12764,0,0,15,1605,21.53289,20.58227,118.99456,0.12152,14.460218931200002,0,0,234.5587
1709772565000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.7279,46.80061,100,1752,12773,0,0,15,1605,21.54891,20.60096,118.85719,0.12152,14.443525728800001,0,0,234.5904
1709772570000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.8328,47.38235,100,1772,12772,0,0,15,1605,21.54891,20.58227,122.38366,0.12846,15.7214049636,0,0,234.6286
1709772575000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.8328,48.03085,100,1752,12763,0,0,15,1605,21.53823,20.58494,121.57504,0.12504,15.201743001600002,0,0,234.6178
1709772580000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.86523,47.863,100,1768,12754,0,0,15,1605,21.53022,20.59829,119.42378,0.12152,14.5123777456,0,0,234.5249
1709772585000,1.6559999999999988,0.5444999999999988,28.616,21.11999,21.03999,36.87858,47.51586,100,1617,12754,0,0,15,1605,21.53556,20.56625,118.88572,0.12504,14.865470428800002,0,0,234.4735
1709772590000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709772595000,1.6559999999999988,0.5444999999999988,28.616,21.11999,21.03999,36.89575,46.93984,100,1793,12765,0,0,15,1605,21.53823,20.59028,121.70681,0.12504,15.218219522400002,0,0,234.5074
1709772600000,1.6559999999999988,0.5444999999999988,28.616,21.11999,21.07998,36.90719,46.88453,100,1768,12778,0,0,15,1605,21.54624,20.58494,119.2714,0.12152,14.493860528,0,0,234.5747
1709772605000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.90719,46.68998,100,1714,12777,0,0,15,1605,21.54357,20.58227,118.64175,0.12152,14.41734546,0,0,234.6471
1709772610000,1.6559999999999988,0.5444999999999988,28.616,21.15998,21.03999,36.9091,47.24693,100,1733,12760,0,0,15,1605,21.55426,20.56625,121.87385,0.12846,15.655914770999999,0,0,234.6444
