"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1709849610000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,33.98323,39.57557,100,1617,14158,0,0,15,1620,22.53692,21.56761,122.69557,0.1318,16.171276126000002,0,0,234.8423
1709849615000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.00802,39.45922,100,1750,14149,0,0,15,1620,22.53158,21.55426,120.27763,0.11788,14.1783270244,0,0,234.759
1709849620000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849625000,2.8019999999999996,0.6870799999999996,29.762,22,21.91999,34.01947,39.15786,100,1731,14159,0,0,15,1605,22.54226,21.5409,123.32202,0.1318,16.253842236,0,0,234.6772
1709849630000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.07478,39.25323,100,1677,14173,0,0,15,1605,22.53692,21.57028,121.1509,0.12846,15.563044613999997,0,0,234.7012
1709849635000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.06715,39.57939,100,1752,14176,0,0,15,1605,22.51823,21.53823,121.072,0.12504,15.138842880000002,0,0,234.7512
1709849640000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.08241,39.63851,100,1733,14169,0,0,15,1620,22.52624,21.53823,120.06474,0.12504,15.012895089600002,0,0,234.8019
1709849645000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.10339,39.33143,100,1846,14155,0,0,15,1605,22.5476,21.5409,120.26994,0.12504,15.038553297600002,0,0,234.8398
1709849650000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.0805,39.38674,100,1659,14139,0,0,15,1605,22.51823,21.51687,121.97749,0.1318,16.076633182000002,0,0,234.7831
1709849655000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.0538,39.50691,100,1768,14145,0,0,15,1620,22.52891,21.53556,123.67643,0.12504,15.4645008072,0,0,234.6761
1709849660000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.08813,39.49165,100,1733,14165,0,0,15,1605,22.52624,21.52221,120.65631,0.12504,15.086865002400002,0,0,234.7059
1709849665000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.11674,39.30664,100,1855,14177,0,0,15,1620,22.52624,21.51954,121.31108,0.12504,15.168737443200001,0,0,234.7543
1709849670000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849675000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.11674,39.38293,100,1731,14164,0,0,15,1620,22.52357,21.52221,123.27452,0.1318,16.247581736,0,0,234.7804
1709849680000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.11483,39.81208,100,1846,14148,0,0,15,1605,22.51823,21.53289,120.86051,0.12504,15.112398170400002,0,0,234.8565
1709849685000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.83999,34.09004,39.91699,100,1714,14130,0,0,15,1620,22.53959,21.53022,119.90803,0.12504,14.9933000712,0,0,234.7798
1709849690000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.0805,39.65187,100,1714,14138,0,0,15,1620,22.49153,21.53022,123.09687,0.1318,16.224167466,0,0,234.6784
1709849695000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.132,39.71672,100,1483,14161,0,0,15,1605,22.49153,21.51687,122.5699,0.13505,16.553064995,0,0,234.6689
1709849700000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.09957,40.02761,100,1750,14180,0,0,15,1620,22.5209,21.52221,121.20178,0.12152,14.7284403056,0,0,234.7036
1709849705000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.12818,40.08483,100,1714,14192,0,0,15,1605,22.49954,21.52488,123.32702,0.1318,16.254501236,0,0,234.7665
1709849710000,2.8019999999999996,0.6870799999999996,29.762,22,21.87998,34.16252,40.3366,100,1695,14185,0,0,15,1620,22.49954,21.51954,123.66148,0.1318,16.298583064,0,0,234.8153
1709849715000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.83999,34.13963,40.21644,100,1695,14159,0,0,15,1605,22.49153,21.51954,122.05581,0.12846,15.679289352599998,0,0,234.7994
1709849720000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.19113,40.22789,100,1733,14141,0,0,15,1620,22.49954,21.48216,119.7434,0.12504,14.972714736,0,0,234.6838
1709849725000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849730000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.1835,40.28701,100,1695,14151,0,0,15,1605,22.49954,21.5142,121.0007,0.12504,15.129927528000001,0,0,234.6699
1709849735000,2.8019999999999996,0.6870799999999996,29.762,22,21.91999,34.1854,40.36331,100,1659,14173,0,0,15,1620,22.51823,21.47415,121.20941,0.09774,11.8470077334,0,0,234.7348
1709849740000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.1854,40.37857,0,0,14185,0,0,15,1620,22.4755,21.50085,121.52687,0.05894,7.1627937178,0,0,234.6823
1709849745000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.20257,40.5178,100,1806,14181,0,0,15,1620,22.48886,21.50085,122.71566,0.11415,14.007992589,0,0,234.7229
1709849750000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.20257,40.60554,100,1752,14167,0,0,15,1620,22.49687,21.50085,123.40197,0.11415,14.0863348755,0,0,234.7259
1709849755000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.91999,34.21974,40.74478,100,1696,14161,0,0,15,1620,22.4942,21.51687,120.25456,0.11415,13.727058024,0,0,234.7835
1709849760000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.22546,40.49873,100,1714,14180,0,0,15,1605,22.49954,21.49017,122.22741,0.11415,13.952258851500002,0,0,234.8443
1709849765000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.24644,40.52734,100,1694,14201,0,0,15,1605,22.47817,21.4875,123.1194,0.12152,14.961469488,0,0,234.88
1709849770000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.21211,40.31562,100,1677,14197,0,0,15,1620,22.48352,21.48483,123.76861,0.11788,14.5898437468,0,0,234.8631
1709849775000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.26551,40.40336,100,1389,14173,0,0,15,1605,22.48886,21.48483,123.00167,0.11788,14.499436859600001,0,0,234.8475
1709849780000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849785000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.26551,40.4911,100,1733,14152,0,0,15,1620,22.4942,21.4875,123.42695,0.11415,14.089186342500001,0,0,234.7192
1709849790000,2.8039999999999985,0.6890799999999985,29.764,21.95999,21.83999,34.33036,40.52162,100,1733,14142,0,0,15,1620,22.47817,21.50085,123.19448,0.11788,14.5221653024,0,0,234.7399
1709849795000,2.8039999999999985,0.6890799999999985,29.764,21.95999,21.87998,34.31701,40.29655,100,1714,14144,0,0,15,1620,22.49687,21.47415,120.13659,0.11415,13.7135917485,0,0,234.8337
1709849800000,2.8039999999999985,0.6890799999999985,29.764,21.95999,21.83999,34.3151,40.13061,100,1714,14157,0,0,15,1620,22.48886,21.49017,123.61412,0.11415,14.110551798,0,0,234.8833
1709849805000,2.8039999999999985,0.6890799999999985,29.764,22,21.83999,34.3399,40.09246,100,1714,14177,0,0,15,1620,22.49954,21.47148,123.44692,0.11788,14.5519229296,0,0,234.893
1709849810000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.34944,40.06576,100,1677,14182,0,0,15,1605,22.48619,21.47415,120.94718,0.11415,13.806120597000001,0,0,234.8305
1709849815000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.32273,40.55786,100,1617,14174,0,0,15,1605,22.46215,21.47682,123.85325,0.12504,15.486610380000002,0,0,234.7792
1709849820000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,34.39712,40.53878,100,1548,14162,0,0,15,1620,22.47817,21.50085,122.76589,0.11415,14.0137263435,0,0,234.7496
1709849825000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.37995,40.61698,100,1714,14154,0,0,15,1620,22.47817,21.4875,122.5875,0.12152,14.896833,0,0,234.8019
1709849830000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.41429,40.48919,100,1695,14159,0,0,15,1605,22.49153,21.50085,122.07096,0.11415,13.934400084,0,0,234.8515
1709849835000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849840000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.42955,40.34042,100,1659,14170,0,0,15,1620,22.48886,21.50619,122.47682,0.12152,14.883383166400002,0,0,234.907
1709849845000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.83999,34.4181,40.27938,100,1714,14174,0,0,15,1620,22.49687,21.49284,120.84521,0.11027,13.3256013067,0,0,234.8688
1709849850000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.83999,34.43336,40.24314,100,1695,14177,0,0,15,1620,22.48352,21.50085,122.80606,0.12152,14.9233924112,0,0,234.8087
1709849855000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.4963,40.27175,100,1655,14176,0,0,15,1620,22.50221,21.50085,122.14164,0.11788,14.3980565232,0,0,234.7688
1709849860000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.55162,40.26412,100,1500,14169,0,0,15,1605,22.48886,21.49551,123.53929,0.12152,15.012494520799999,0,0,234.8161
1709849865000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.83999,34.59739,40.40527,100,1695,14169,0,0,15,1620,22.48352,21.50352,120.9319,0.11027,13.335160613000001,0,0,234.831
1709849870000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.83999,34.67369,40.42053,100,1731,14169,0,0,15,1620,22.48619,21.48483,123.47689,0.11788,14.5554557932,0,0,234.8547
1709849875000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.74044,40.27175,100,1714,14164,0,0,15,1605,22.49687,21.49284,121.66882,0.11415,13.888495803,0,0,234.8779
1709849880000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.71374,40.21072,100,1677,14152,0,0,15,1605,22.48886,21.49017,122.27784,0.11788,14.414111779199999,0,0,234.8066
1709849885000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,34.81674,40.49682,100,1695,14155,0,0,15,1605,22.48352,21.50886,123.29202,0.11788,14.533663317599999,0,0,234.7833
1709849890000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,34.89875,40.6723,100,1695,14172,0,0,15,1605,22.48085,21.50619,123.57919,0.11788,14.567514917199999,0,0,234.8382
1709849895000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849900000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.87998,35.01319,40.82298,100,1696,14187,0,0,15,1605,22.49954,21.50619,120.45687,0.11027,13.2827790549,0,0,234.8617
1709849905000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,35.11619,40.86875,100,1696,14190,0,0,15,1605,22.49687,21.50352,121.73213,0.12504,15.221385535200001,0,0,234.9802
1709849910000,2.8039999999999985,0.6890799999999985,29.764,21.91999,21.91999,35.13145,40.7257,100,1714,14185,0,0,15,1620,22.51022,21.51954,121.23483,0.11415,13.838955844500001,0,0,234.9015
1709849915000,2.8039999999999985,0.6890799999999985,29.764,21.91999,21.87998,35.18867,40.71044,100,1714,14184,0,0,15,1620,22.4755,21.51153,123.7711,0.11415,14.128471065000001,0,0,234.833
1709849920000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,35.22109,40.75622,100,1714,14176,0,0,15,1605,22.47283,21.51687,122.1921,0.11788,14.404004748,0,0,234.7587
1709849925000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.83999,35.25733,40.90309,100,1600,14176,0,0,15,1605,22.48886,21.52488,123.18447,0.12152,14.9693767944,0,0,234.785
1709849930000,2.8019999999999996,0.6870799999999996,29.762,21.91999,21.87998,35.2993,40.99273,100,1517,14196,0,0,15,1620,22.49687,21.53022,120.74569,0.10209,12.3269274921,0,0,234.901
1709849935000,2.8019999999999996,0.6870799999999996,29.762,21.95999,21.91999,35.32218,41.0633,100,1875,14220,80,5070,45,5460,22.51823,21.50352,118.03747,3.34335,394.6405753245,100,100,234.7493
1709849940000,2.8039999999999985,0.6890799999999985,29.764,22.92298,22.88398,35.25543,40.80581,100,1787,14011,80,5055,45,5385,22.57965,21.53022,118.70669,3.28701,390.1900770969,100,100,234.6647
1709849945000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709849950000,2.8000000000000007,0.6850800000000007,29.76,24.92498,24.81399,35.12001,40.50064,100,1714,13987,80,5070,45,5385,23.1137,21.53022,121.29583,3.29797,400.03000846509997,100,100,234.6734
1709849955000,2.8019999999999996,0.6870799999999996,29.762,27.41299,27.17199,34.64698,40.43006,100,1714,13975,80,5100,45,5370,23.97621,21.62368,121.71694,3.28305,399.60279986699993,100,100,234.7566
1709849960000,2.8000000000000007,0.6850800000000007,29.76,30.13299,29.76599,33.19549,40.2584,100,1750,13944,80,5100,45,5385,25.34873,21.74118,120.14686,3.22808,387.8436758288,100,100,234.806
1709849965000,2.8019999999999996,0.6870799999999996,29.762,32.77398,32.38699,31.57997,39.76821,100,1714,13919,80,5100,45,5370,26.64649,21.89071,122.12145,3.26141,398.2881182445,100,100,234.8168
1709849970000,2.8019999999999996,0.6870799999999996,29.762,35.42399,34.93699,29.43038,39.36386,100,1733,13886,80,5085,45,5385,28.16322,22.03758,122.19462,3.24993,397.1239613766,100,100,234.7423
1709849975000,2.8019999999999996,0.6870799999999996,29.762,37.91099,37.44099,27.72712,39.0892,100,1826,13859,80,5085,45,5385,29.38621,22.24853,120.57708,3.22592,388.9720139136,100,100,234.6802
1709849980000,2.8019999999999996,0.6870799999999996,29.762,40.28498,39.79399,25.79498,38.94424,100,1750,13850,80,5100,45,5385,30.708,22.41409,120.8197,3.22485,389.62540954499997,100,100,234.7008
1709849985000,2.8000000000000007,0.6850800000000007,29.76,42.51399,42.02799,24.374,38.49983,100,1752,13838,80,5085,45,5385,31.72805,22.60368,119.40829,3.16227,377.6012532183,100,100,234.7394
1709849990000,2.8000000000000007,0.6850800000000007,29.76,44.58299,44.08299,22.87101,38.19656,100,1659,13832,80,5085,45,5385,32.85491,22.76924,118.36865,3.15953,373.98930073450003,100,100,234.804
1709849995000,2.8000000000000007,0.6850800000000007,29.76,46.58299,46.08299,21.75331,38.33007,100,1582,13812,80,5085,45,5385,33.68537,22.94815,121.0669,3.23628,391.806387132,100,100,234.8398
1709850000000,2.8019999999999996,0.6870799999999996,29.762,48.35099,48.02699,20.58792,37.72926,100,1750,13797,80,5085,45,5400,34.60662,23.06831,121.072,3.21487,389.23074064,100,100,234.7464
1709850005000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850010000,2.8000000000000007,0.6850800000000007,29.76,50.08099,49.94398,19.81925,37.64152,100,1733,13797,80,5085,45,5385,35.27954,23.26324,119.88746,3.17161,380.2362670106,100,100,234.6845
1709850015000,2.8000000000000007,0.6850800000000007,29.76,51.70199,51.72898,18.92471,37.41073,100,1714,13799,80,5085,45,5385,36.04057,23.38073,119.25073,3.15319,376.0202093287,100,100,234.6807
1709850020000,2.8000000000000007,0.6850800000000007,29.76,53.23599,53.39399,18.1694,36.96441,100,1714,13798,80,5085,45,5385,36.60133,23.53561,120.86051,3.21594,388.6801485294,100,100,234.7155
1709850025000,2.8000000000000007,0.6850800000000007,29.76,54.75599,54.94499,17.43125,36.44943,100,1750,13789,80,5085,45,5385,37.22885,23.67446,117.29614,3.11105,364.914156347,100,100,234.7869
1709850030000,2.8000000000000007,0.6850800000000007,29.76,56.18899,56.40499,16.78657,36.18049,100,1733,13779,80,5085,45,5385,37.69615,23.82934,120.8554,3.21324,388.337405496,100,100,234.8109
1709850035000,2.8000000000000007,0.6850800000000007,29.76,57.56698,57.78298,16.25633,35.69602,100,1677,13772,80,5085,45,5385,38.20617,23.95751,120.13916,3.20892,385.5169533072,100,100,234.7761
1709850040000,2.8000000000000007,0.6850800000000007,29.76,58.91598,59.13499,15.76232,35.48622,100,1389,13775,80,5085,45,5385,38.60137,24.07501,117.23831,3.11857,365.6158764167,100,100,234.6371
1709850045000,2.8000000000000007,0.6850800000000007,29.76,60.13499,60.45899,15.24162,35.25924,100,1733,13791,80,5085,45,5400,39.04998,24.23255,117.86761,3.14091,370.21155492509996,100,100,234.6673
1709850050000,2.8000000000000007,0.6850800000000007,29.76,61.33299,61.72198,14.89257,35.20584,100,1714,13804,80,5070,45,5385,39.38644,24.36073,117.63201,3.134,368.65871933999995,100,100,234.7549
1709850055000,2.8019999999999996,0.6870799999999996,29.762,62.52699,62.91598,14.49012,34.7042,100,1659,13801,80,5085,45,5400,39.74426,24.47021,119.34115,3.18786,380.442878439,100,100,234.7753
1709850060000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850065000,2.8039999999999985,0.6890799999999985,29.764,63.69398,64,14.08386,34.36279,100,1733,13783,80,5085,45,5385,40.05401,24.55833,117.56124,3.11341,366.0163402284,100,100,234.8351
1709850070000,2.8019999999999996,0.6870799999999996,29.762,64.75,65.08299,13.72146,34.10339,100,1887,13768,80,5085,45,5385,40.39047,24.69985,117.46945,3.12622,367.235343979,100,100,234.8076
1709850075000,2.8000000000000007,0.6850800000000007,29.76,65.77699,66.11399,13.51547,33.83827,100,1714,13769,80,5070,45,5370,40.64414,24.82269,117.56387,3.11216,365.8775736592,100,100,234.7194
1709850080000,2.8000000000000007,0.6850800000000007,29.76,66.79998,67.17098,13.23318,33.91647,100,1642,13783,80,5070,45,5400,40.9272,24.94018,120.88346,3.22795,390.20576470699996,100,100,234.6996
1709850085000,2.8000000000000007,0.6850800000000007,29.76,67.68499,68.23498,12.98522,33.68759,100,1733,13803,80,5085,45,5385,41.19689,25.05233,120.97267,3.21905,389.4170733635,100,100,234.705
1709850090000,2.8000000000000007,0.6850800000000007,29.76,68.55799,69.31399,12.79449,33.30039,100,1750,13816,80,5070,45,5400,41.42387,25.18051,120.68951,3.21527,388.0493608177,100,100,234.7616
1709850095000,2.8000000000000007,0.6850800000000007,29.76,69.45698,70.29399,12.54272,33.1192,100,1714,13814,80,5070,45,5385,41.65618,25.23925,121.25009,3.22485,391.0133527365,100,100,234.8212
1709850100000,2.8019999999999996,0.6870799999999996,29.762,70.29399,71.27198,12.35771,33.02764,100,1696,13792,80,5070,45,5400,41.88049,25.31402,120.78143,3.21702,388.55627593860004,100,100,234.8452
1709850105000,2.8000000000000007,0.6850800000000007,29.76,71.05999,72.26399,12.16316,32.64808,100,1733,13779,80,5070,45,5400,42.08343,25.41816,118.48316,3.15747,374.1070232052,100,100,234.7716
1709850110000,2.8000000000000007,0.6850800000000007,29.76,71.81799,73.18699,12.01248,32.25898,100,1714,13784,80,5070,45,5385,42.27569,25.53298,120.77377,3.20973,387.6511927821,100,100,234.6971
1709850115000,2.8000000000000007,0.6850800000000007,29.76,72.52899,74.08999,11.89994,32.38296,100,1655,13798,80,5070,45,5400,42.46261,25.61843,118.0949,3.11968,368.41829763199996,100,100,234.7161
1709850120000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850125000,2.8000000000000007,0.6850800000000007,29.76,73.25,74.96899,11.71112,32.3143,100,1483,13814,80,5085,45,5385,42.60681,25.74928,117.41696,3.11927,366.2552008192,100,100,234.7633
1709850130000,2.8000000000000007,0.6850800000000007,29.76,73.90599,75.84298,11.64054,32.16361,100,1768,13825,80,5085,45,5400,42.79907,25.80001,119.13177,3.17366,378.0837331782,100,100,234.8036
1709850135000,2.8019999999999996,0.6870799999999996,29.762,74.51499,76.75,11.45172,31.74591,100,1750,13822,80,5070,45,5385,42.92991,25.91217,117.86238,3.10588,366.0664087944,100,100,234.8343
1709850140000,2.8000000000000007,0.6850800000000007,29.76,75.125,77.57998,11.37351,31.744,100,1677,13809,80,5055,45,5385,43.08746,25.97091,118.52738,3.12915,370.889951127,100,100,234.7652
1709850145000,2.8000000000000007,0.6850800000000007,29.76,75.68699,78.48298,11.23809,31.44454,100,1731,13802,80,5070,45,5400,43.21029,26.08039,118.1784,3.14533,371.71006687199997,100,100,234.6832
1709850150000,2.8019999999999996,0.6870799999999996,29.762,76.375,79.23298,11.15417,31.54182,100,1714,13803,80,5055,45,5400,43.37852,26.16317,118.15492,3.12303,369.0013598076,100,100,234.7558
1709850155000,2.8000000000000007,0.6850800000000007,29.76,77.03199,79.86599,11.17897,31.86798,100,1714,13806,80,5070,45,5400,43.47198,26.24595,120.09553,3.19602,383.8277157906,100,100,234.7702
1709850160000,2.8000000000000007,0.6850800000000007,29.76,77.64498,80.53298,11.17134,32.0549,100,1677,13815,80,5085,45,5400,43.60549,26.29135,119.35923,3.13829,374.5838779167,100,100,234.8123
1709850165000,2.8000000000000007,0.6850800000000007,29.76,78.28999,81.23298,11.13891,32.15026,0,0,13822,80,5070,45,5400,43.71231,26.34208,118.12882,3.07551,363.3063671982,100,100,234.8062
1709850170000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850175000,2.8000000000000007,0.6850800000000007,29.76,78.77398,81.86599,11.15798,32.02056,0,0,13823,80,5070,45,5400,43.80043,26.38748,117.3907,3.05667,358.824630969,100,100,234.8146
1709850180000,2.8000000000000007,0.6850800000000007,29.76,79.29998,82.55099,11.08169,31.96144,0,0,13823,80,5070,45,5400,43.90724,26.4302,120.19816,3.1499,378.612184184,100,100,234.8093
1709850185000,2.8000000000000007,0.6850800000000007,29.76,79.76599,83.24099,11.07215,31.78977,0,0,13823,80,5070,45,5400,43.98735,26.49162,120.36216,3.15444,379.67521199040004,100,100,234.7951
1709850190000,2.8000000000000007,0.6850800000000007,29.76,80.19999,83.96499,10.98632,31.64863,0,0,13825,80,5070,45,5385,44.08348,26.57707,117.51666,3.08567,362.6176322622,100,100,234.8103
1709850195000,2.8019999999999996,0.6870799999999996,29.762,80.66598,84.64199,10.97297,31.48269,0,0,13824,80,5070,45,5400,44.16893,26.62246,119.26623,3.13539,373.9461448797,100,100,234.8125
1709850200000,2.8019999999999996,0.6870799999999996,29.762,81.09999,85.32099,10.84709,31.34155,0,0,13826,80,5070,45,5415,44.25704,26.68121,119.43669,3.11621,372.1898077449,100,100,234.8172
1709850205000,2.8019999999999996,0.6870799999999996,29.762,81.5,85.96398,10.79559,31.19659,0,0,13827,80,5070,45,5415,44.31045,26.76399,116.60032,3.04515,355.065464448,100,100,234.8077
1709850210000,2.8019999999999996,0.6870799999999996,29.762,81.93299,86.59199,10.68305,31.04209,0,0,13827,80,5055,45,5400,44.3959,26.81205,117.2646,3.0772,360.84662712,100,100,234.8213
1709850215000,2.8019999999999996,0.6870799999999996,29.762,82.34399,87.22198,10.64682,30.95817,0,0,13830,80,5070,45,5400,44.48402,26.87614,119.55534,3.14036,375.4468075224,100,100,234.7889
1709850220000,2.8000000000000007,0.6850800000000007,29.76,82.72399,87.81399,10.57624,30.78651,0,0,13829,80,5070,45,5400,44.55612,26.94557,116.77467,3.06617,358.0509899139,100,100,234.8172
1709850225000,2.8000000000000007,0.6850800000000007,29.76,83.13699,88.46099,10.52093,30.71403,0,0,13831,80,5070,45,5415,44.6202,26.99897,118.22012,3.10336,366.87959160319997,100,100,234.8253
1709850230000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850235000,2.8000000000000007,0.6850800000000007,29.76,83.58599,89.07598,10.51139,30.56144,0,0,13831,80,5070,45,5400,44.68162,27.09777,116.50512,3.04472,354.7254689664,100,100,234.8199
1709850240000,2.8000000000000007,0.6850800000000007,29.76,84,89.69198,10.49232,30.41839,0,0,13834,80,5070,45,5415,44.78843,27.15118,117.01989,3.04472,356.2927994808,100,100,234.8252
1709850245000,2.8000000000000007,0.6850800000000007,29.76,84.39199,90.23999,10.49995,30.23529,0,0,13836,80,5070,45,5400,44.85519,27.21527,117.82838,3.09242,364.3748388796,100,100,234.8226
1709850250000,2.8000000000000007,0.6850800000000007,29.76,84.78498,90.83999,10.45608,30.18951,0,0,13835,80,5070,45,5415,44.91661,27.28469,117.3802,3.05212,358.258456024,100,100,234.8227
1709850255000,2.8000000000000007,0.6850800000000007,29.76,85.17799,91.39999,10.37597,30.2124,0,0,13837,80,5055,45,5415,44.97802,27.35412,116.91711,3.06108,357.8926270788,100,100,234.8251
1709850260000,2.8000000000000007,0.6850800000000007,29.76,85.57099,91.91999,10.34164,30.12466,0,0,13837,80,5055,45,5415,45.04745,27.42355,117.82052,3.06292,360.8748271184,100,100,234.8217
1709850265000,2.8000000000000007,0.6850800000000007,29.76,85.92799,92.47999,10.31875,30.03501,0,0,13840,80,5070,45,5415,45.12756,27.49031,117.44058,3.05554,358.8443898132,100,100,234.8258
1709850270000,2.8000000000000007,0.6850800000000007,29.76,86.33299,93,10.35308,29.81948,0,0,13841,80,5055,45,5415,45.17028,27.56774,116.52363,3.03843,354.0488931009,100,100,234.8309
1709850275000,2.8000000000000007,0.6850800000000007,29.76,86.70298,93.54098,10.28823,29.74128,0,0,13843,80,5070,45,5400,45.26107,27.64251,117.18835,3.05014,357.440873869,100,100,234.8304
1709850280000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709850285000,2.8000000000000007,0.6850800000000007,29.76,87.07398,94.04299,10.24818,29.63066,0,0,13843,80,5070,45,5415,45.30914,27.68257,119.81546,3.14077,376.3128023042,100,100,234.831
1709850290000,2.8000000000000007,0.6850800000000007,29.76,87.48098,94.56498,10.22148,29.58106,0,0,13847,80,5085,45,5400,45.3572,27.73864,119.92346,3.12928,375.27408490880003,100,100,234.8299
1709850295000,2.8000000000000007,0.6850800000000007,29.76,87.81399,95.04098,10.23292,29.43229,0,0,13848,80,5055,45,5415,45.39726,27.79739,116.63204,3.04385,355.010434954,100,100,234.8271
