"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM"
1709772560000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1709772565000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.57667,43.99299,100,1750,12155,0,0,15,1620,21.44477,20.77186,121.05418,0.12152,14.7105039536,0,0
1709772570000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.59002,44.08073,100,1752,12153,0,0,15,1635,21.44744,20.79055,121.47866,0.12846,15.6051486636,0,0
1709772575000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.61291,44.14176,100,1787,12153,0,0,15,1620,21.43142,20.78521,119.47023,0.11788,14.0831507124,0,0
1709772580000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.63771,44.15893,100,1787,12151,0,0,15,1620,21.43943,20.77453,119.12918,0.12152,14.476577953600001,0,0
1709772585000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.63389,44.21997,100,1733,12149,0,0,15,1635,21.4421,20.76118,120.29045,0.12504,15.041117868000002,0,0
1709772590000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.62245,44.04258,100,1914,12152,0,0,15,1620,21.43142,20.75317,119.2714,0.11788,14.059712632,0,0
1709772595000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.61863,44.11125,100,1836,12157,0,0,15,1635,21.43676,20.75851,118.8105,0.11415,13.562218575000001,0,0
1709772600000,1.532,0.51644,28.336,21.63999,21.51998,37.5843,44.22378,100,1772,12155,0,0,15,1620,21.46347,20.76652,118.93496,0.11788,14.0200530848,0,0
1709772605000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.56332,44.32487,100,1768,12151,0,0,15,1620,21.45011,20.75851,122.11387,0.12152,14.839277482400002,0,0
1709772610000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.51998,37.54043,44.3325,100,1768,12146,0,0,15,1635,21.44744,20.76919,118.76119,0.11415,13.5565898385,0,0
1709772615000,1.532,0.51644,28.336,21.59999,21.59999,37.54997,44.25048,100,1752,12149,0,0,15,1620,21.44744,20.75851,119.60174,0.12152,14.534003444800002,0,0
1709772620000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.51564,44.03877,100,1750,12158,0,0,15,1635,21.46614,20.7505,118.96089,0.11415,13.579385593500001,0,0
1709772625000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.48512,44.23713,100,1772,12163,0,0,15,1620,21.44744,20.76118,122.56236,0.12504,15.325197494400001,0,0
1709772630000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.43553,44.39353,100,1750,12167,0,0,15,1620,21.43676,20.76652,121.80554,0.12504,15.2305647216,0,0
1709772635000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.39929,44.14367,100,1363,12162,0,0,15,1635,21.46881,20.76919,120.44665,0.12504,15.060649116000002,0,0
1709772640000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.41264,44.14558,100,1914,12150,0,0,15,1620,21.45011,20.74516,121.15344,0.12152,14.722566028800001,0,0
1709772645000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.34779,44.50416,0,0,12147,0,0,15,1620,21.43943,20.76385,122.22993,0.05894,7.2042320742,0,0
1709772650000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1709772655000,1.532,0.51644,28.336,21.63999,21.51998,37.33062,44.47174,100,1836,12145,0,0,15,1620,21.4421,20.76385,120.94464,0.11027,13.336565452800002,0,0
1709772660000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.27149,44.51751,100,1768,12148,0,0,15,1635,21.43943,20.74516,119.63523,0.11415,13.656361504500001,0,0
1709772665000,1.532,0.51644,28.336,21.59999,21.59999,37.26196,44.64149,100,1768,12155,0,0,15,1620,21.44477,20.75317,119.80001,0.11027,13.2103471027,0,0
1709772670000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,37.19329,44.70825,100,1768,12162,0,0,15,1620,21.45278,20.76385,120.13659,0.11788,14.1617012292,0,0
1709772675000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.15515,44.67391,100,1617,12161,0,0,15,1635,21.43676,20.74783,120.3263,0.11415,13.735247145,0,0
1709772680000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.59999,37.10174,44.44313,100,1772,12163,0,0,15,1620,21.45011,20.74783,120.50292,0.11415,13.755408318,0,0
1709772685000,1.532,0.51644,28.336,21.63999,21.55999,37.04833,44.47746,100,1772,12158,0,0,15,1620,21.46881,20.77186,121.13563,0.11788,14.279468064400001,0,0
1709772690000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.59999,37.04643,44.91233,100,1750,12156,0,0,15,1635,21.4421,20.74249,121.70175,0.11415,13.8922547625,0,0
1709772695000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,37.00065,44.50035,100,1768,12158,0,0,15,1620,21.45812,20.75317,118.73783,0.11027,13.0932205141,0,0
1709772700000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.59999,36.95678,44.49653,100,1750,12161,0,0,15,1620,21.44477,20.77186,118.93237,0.11027,13.114672439900001,0,0
1709772705000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,36.90719,44.78073,100,1625,12165,0,0,15,1620,21.43142,20.73715,118.73783,0.12152,14.4290211016,0,0
1709772710000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.59999,36.8824,44.76547,100,1750,12169,0,0,15,1620,21.43676,20.74783,119.65069,0.11415,13.6581262635,0,0
1709772715000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,36.8576,44.49081,100,1768,12164,0,0,15,1635,21.39938,20.71578,120.72526,0.12152,14.6705335952,0,0
1709772720000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,36.86714,44.47174,100,1677,12160,0,0,15,1620,21.42608,20.74516,120.38009,0.12152,14.6285885368,0,0
1709772725000,1.5340000000000025,0.5184400000000025,28.338,21.63999,21.55999,36.88621,44.36492,100,1659,12156,0,0,15,1620,21.42875,20.71044,118.9272,0.11415,13.575539880000001,0,0
1709772730000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,36.94343,44.68345,100,1752,12156,0,0,15,1620,21.39938,20.73448,121.16871,0.11415,13.8314082465,0,0
1709772735000,1.5340000000000025,0.5184400000000025,28.338,21.59999,21.55999,36.94343,44.95239,100,1714,12157,0,0,15,1635,21.42074,20.73181,120.90641,0.11788,14.252447610799999,0,0
