"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM"
1709945760000,3.546000000000003,0.5339000000000029,30.35,22,21.95999,36.39411,38.89083,100,1714,14544,0,0,15,1635,22.07763,21.86401,118.00352,0.12504,14.755160140800001,0,0
1709945765000,3.546000000000003,0.5339000000000029,30.35,22.03799,22.03799,36.33689,38.92707,100,1695,14549,0,0,15,1620,22.08831,21.856,118.41812,0.12504,14.807001724800001,0,0
1709945770000,3.548000000000002,0.5359000000000018,30.352,22.03799,22,36.35597,38.82598,100,1642,14543,0,0,15,1635,22.11769,21.84532,118.25401,0.12504,14.7864814104,0,0
1709945775000,3.5500000000000007,0.5379000000000007,30.354,22,22,36.30447,38.96331,100,1714,14533,0,0,15,1620,22.09899,21.86134,120.33656,0.12846,15.458434497599999,0,0
1709945780000,3.548000000000002,0.5359000000000018,30.352,22.03799,22,36.25106,38.77639,100,1659,14526,0,0,15,1635,22.10968,21.86134,117.58483,0.12504,14.702807143200001,0,0
1709945785000,3.546000000000003,0.5339000000000029,30.35,22.03799,22,36.24153,38.70773,100,1714,14522,0,0,15,1635,22.12036,21.85066,117.90682,0.12152,14.3280367664,0,0
1709945790000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1709945795000,3.5500000000000007,0.5379000000000007,30.354,22.03799,22.03799,36.1309,38.77067,100,1696,14525,0,0,15,1635,22.12036,21.85867,120.53617,0.12846,15.4840763982,0,0
1709945800000,3.548000000000002,0.5359000000000018,30.352,22.03799,22,36.14044,38.75732,100,1674,14533,0,0,15,1620,22.11502,21.88003,119.62236,0.11788,14.1010837968,0,0
1709945805000,3.546000000000003,0.5339000000000029,30.35,22.03799,22,36.14997,38.58566,100,1642,14542,0,0,15,1620,22.10968,21.856,120.10324,0.12846,15.4284622104,0,0
1709945810000,3.548000000000002,0.5359000000000018,30.352,22.03799,22,36.09848,38.35296,100,1750,14542,0,0,15,1635,22.11769,21.85867,120.23918,0.12152,14.611465153600001,0,0
1709945815000,3.546000000000003,0.5339000000000029,30.35,22.07598,22,36.0527,38.35296,100,1714,14531,0,0,15,1620,22.10166,21.85867,119.07225,0.12152,14.46965982,0,0
1709945820000,3.5500000000000007,0.5379000000000007,30.354,22.03799,22.03799,36.02981,38.55514,100,1695,14524,0,0,15,1635,22.13905,21.86935,119.33857,0.11788,14.0676306316,0,0
1709945825000,3.548000000000002,0.5359000000000018,30.352,22.03799,22.03799,35.97068,38.71917,100,1731,14525,0,0,15,1635,22.10433,21.85867,118.88572,0.11788,14.014248673600001,0,0
1709945830000,3.546000000000003,0.5339000000000029,30.35,22.07598,22.03799,35.92109,38.71917,100,1866,14523,0,0,15,1635,22.11769,21.85066,118.48316,0.12504,14.8151343264,0,0
