"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1710796495000,2.7880000000000003,0.6535000000000002,29.748,21.51998,21.31999,38.30909,42.25921,100,1714,14098,0,0,15,1620,21.856,20.85731,122.1694,0.12504,15.276061776,0,0,234.6817
1710796500000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.31999,38.40065,42.24586,100,1750,14092,0,0,15,1605,21.87202,20.84396,122.56488,0.12846,15.744684484799999,0,0,234.6825
1710796505000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.31999,38.46359,42.25158,100,1733,14093,0,0,15,1605,21.85867,20.84396,120.47224,0.12152,14.639786604800001,0,0,234.6475
1710796510000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.31999,38.51699,42.12188,100,1768,14113,0,0,15,1605,21.84799,20.84129,119.25848,0.12504,14.912080339200003,0,0,234.6028
1710796515000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.31999,38.52272,42.09709,100,1768,14135,0,0,15,1605,21.85333,20.84129,120.53363,0.12504,15.071525095200002,0,0,234.5953
1710796520000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710796525000,2.7880000000000003,0.6535000000000002,29.748,21.47999,21.27999,38.50936,42.27447,100,1731,14130,0,0,15,1605,21.85066,20.85998,120.75079,0.13505,16.3073941895,0,0,234.6891
1710796530000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.27999,38.53988,42.41943,100,1731,14108,0,0,15,1605,21.85867,20.84663,119.59143,0.12152,14.532750573600001,0,0,234.6782
1710796535000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.27999,38.53416,42.09518,100,1768,14084,0,0,15,1605,21.83197,20.8226,120.31607,0.12504,15.0443213928,0,0,234.6653
1710796540000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.31999,38.53797,42.23823,100,1733,14089,0,0,15,1605,21.87202,20.86532,121.67135,0.12846,15.629901621,0,0,234.6793
1710796545000,2.789999999999999,0.6554999999999991,29.75,21.43998,21.31999,38.55895,42.24586,100,1752,14102,0,0,15,1605,21.83998,20.8226,119.47538,0.12152,14.518648177600001,0,0,234.6263
1710796550000,2.7880000000000003,0.6535000000000002,29.748,21.47999,21.27999,38.51127,42.35649,100,1752,14117,0,0,15,1605,21.83731,20.8493,121.11273,0.12846,15.558141295799999,0,0,234.6016
1710796555000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.27999,38.46168,42.5167,100,1731,14125,0,0,15,1605,21.85066,20.8493,120.73803,0.12846,15.510007333799999,0,0,234.6582
1710796560000,2.789999999999999,0.6554999999999991,29.75,21.43998,21.23999,38.48648,42.53005,100,1787,14129,0,0,15,1605,21.82128,20.85998,122.13911,0.12504,15.272274314400002,0,0,234.6351
1710796565000,2.789999999999999,0.6554999999999991,29.75,21.47999,21.27999,38.46931,42.28019,100,1772,14122,0,0,15,1605,21.83731,20.83328,119.65843,0.12152,14.5408924136,0,0,234.6765
1710796570000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710796575000,2.789999999999999,0.6554999999999991,29.75,21.43998,21.27999,38.45977,42.29354,100,1731,14104,0,0,15,1605,21.83731,20.83595,118.86238,0.12504,14.862551995200002,0,0,234.6858
1710796580000,2.789999999999999,0.6554999999999991,29.75,21.43998,21.27999,38.44451,42.24777,100,1750,14097,0,0,15,1605,21.83464,20.84396,122.19462,0.12504,15.279215284800001,0,0,234.6476
1710796585000,2.789999999999999,0.6554999999999991,29.75,21.43998,21.31999,38.40827,42.45948,100,1768,14101,0,0,15,1605,21.82662,20.83328,119.1033,0.12504,14.892676632000002,0,0,234.6181
1710796590000,2.7880000000000003,0.6535000000000002,29.748,21.47999,21.27999,38.40637,42.53578,100,1731,14101,0,0,15,1605,21.82929,20.84129,122.29548,0.1318,16.118544264,0,0,234.6399
1710796595000,2.7880000000000003,0.6535000000000002,29.748,21.43998,21.27999,38.35105,42.40989,100,1696,14110,0,0,15,1605,21.83731,20.83328,119.44184,0.12504,14.935007673600001,0,0,234.6428
