"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1709945765000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709945770000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.45951,42.61016,100,1714,15521,0,0,15,1605,22.19779,21.15371,121.45582,0.1318,16.007877076,0,0,234.9606
1709945775000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.45951,42.48809,100,1655,15500,0,0,15,1620,22.20314,21.14837,120.87835,0.13505,16.3246211675,0,0,234.9712
1709945780000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.63999,35.41946,42.64068,100,1636,15481,0,0,15,1620,22.21115,21.14837,117.79437,0.12504,14.729008024800002,0,0,234.9149
1709945785000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.67999,35.39848,42.70172,100,1714,15483,0,0,15,1605,22.20046,21.15104,121.02616,0.1318,15.951247888000001,0,0,234.8073
1709945790000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.429,42.39082,100,1677,15507,0,0,15,1605,22.21382,21.14837,122.17445,0.13824,16.889395968,0,0,234.8335
1709945795000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.63999,35.4042,42.21725,100,1655,15526,0,0,15,1620,22.21382,21.16439,118.42591,0.12504,14.807975786400002,0,0,234.8969
1709945800000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.63999,35.35842,42.44804,100,1600,15536,0,0,15,1605,22.21916,21.15104,120.63331,0.1318,15.899470258,0,0,234.9537
1709945805000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.30693,42.69409,100,1677,15524,0,0,15,1605,22.20314,21.16439,121.82325,0.13505,16.4522299125,0,0,234.9671
1709945810000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.67999,35.33554,42.39273,100,1642,15502,0,0,15,1605,22.21382,21.16439,121.79795,0.13505,16.4488131475,0,0,234.9344
1709945815000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.25543,41.96166,100,1695,15486,0,0,15,1620,22.22183,21.16439,120.49781,0.12846,15.4791486726,0,0,234.8398
1709945820000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.67999,35.23445,42.04368,100,1617,15494,0,0,15,1605,22.20046,21.15638,122.14669,0.13505,16.4959104845,0,0,234.8122
1709945825000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1709945830000,3.945999999999998,0.5476999999999977,30.906,21.71998,21.71998,35.21347,42.09327,100,1483,15510,0,0,15,1605,22.21115,21.16973,118.90386,0.12846,15.274389855599999,0,0,234.8483
1709945835000,3.943999999999999,0.5456999999999989,30.904,21.75999,21.67999,35.19439,41.95785,100,1714,15521,0,0,15,1620,22.21382,21.16706,118.61317,0.12504,14.831390776800001,0,0,234.8953
1709945840000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.67999,35.12382,42.11997,100,1695,15533,0,0,15,1620,22.22183,21.15905,119.93116,0.12846,15.4063568136,0,0,234.9464
1709945845000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.63999,35.06278,42.36984,100,1642,15522,0,0,15,1605,22.20046,21.16172,118.64175,0.12504,14.834964420000002,0,0,234.9614
1709945850000,3.945999999999998,0.5476999999999977,30.906,21.75999,21.67999,35.05325,42.42134,100,1695,15499,0,0,15,1605,22.21916,21.16439,120.1212,0.12504,15.019954848000001,0,0,234.8837
