"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1710193245000,2.830000000000002,1.543000000000002,29.85,18.08599,18.550316666666664,37.65487000000001,41.50136,100,1628.3333333333333,13998,0,0,15,1610,21.75007666666667,20.12565,119.76147333333334,0.12379333333333335,14.825671988844448,0,0,234.7319
1710193260000,2.830000000000002,1.543000000000002,29.85,18.04299,18.47799,37.65487,41.453355,100,1638.5,13980.5,0,0,15,1612.5,21.721145,20.094945,119.6738,0.12328,14.753386064,0,0,234.725
1710193275000,2.830000000000002,1.543000000000002,29.85,18,18.47799,37.635796666666664,41.37102333333333,100,1683.3333333333333,13979.333333333334,0,0,15,1605,21.694,20.08738,120.63484999999999,0.12500666666666668,15.080160482333334,0,0,234.7083
1710193290000,2.830000000000002,1.543000000000002,29.85,17.95599,18.44865666666667,37.58811333333333,41.415526666666665,100,1651.3333333333333,13994.333333333334,0,0,15,1610,21.68332,20.054443333333335,119.88420333333333,0.12500666666666668,14.98632464468889,0,0,234.7238
1710193305000,2.830000000000002,1.543000000000002,29.85,17.91299,18.41249,37.583344999999994,41.298860000000005,100,1636,13986,0,0,15,1605,21.671750000000003,20.04821,120.09236999999999,0.12498999999999999,15.010345326299998,0,0,234.6902
1710193320000,2.830000000000002,1.543000000000002,29.85,17.86898,18.41965666666667,37.51055,41.22288333333333,100,1713,13979.333333333334,0,0,15,1610,21.651276666666664,20.013499999999997,118.99130333333333,0.11909333333333333,14.171070951644444,0,0,234.7531
1710193335000,2.830000000000002,1.543000000000002,29.85,17.82598,18.376319999999996,37.42853,41.15994333333333,100,1648.3333333333333,14002.666666666666,0,0,15,1605,21.61834,19.99748,118.94471,0.12386666666666668,14.733284745333336,0,0,234.7838
1710193350000,2.830000000000002,1.543000000000002,29.85,17.78199,18.34698,37.34969666666667,41.225426666666664,100,1622.3333333333333,13979,0,0,15,1605,21.59609,19.977003333333332,119.74811666666666,0.12262,14.683514065666667,0,0,234.7133
1710193365000,2.830000000000002,1.543000000000002,29.85,17.78199,18.30398,37.309645,41.345595,100,1599.5,13978.5,0,0,15,1605,21.57295,19.93606,120.48037500000001,0.12504,15.064866090000002,0,0,234.7107
1710193380000,2.830000000000002,1.543000000000002,29.85,17.73899,18.289316666666664,37.361776666666664,41.278196666666666,66.66666666666667,1161,14001,0,0,15,1610,21.56227,19.92004,118.11799666666667,0.07837000000000001,9.256907398766668,0,0,234.6601
1710193395000,2.830000000000002,1.543000000000002,29.85,17.69499,18.274653333333333,37.50546666666667,41.292183333333334,100,1695.3333333333333,13982,0,0,15,1605,21.545353333333335,19.9147,119.67012333333332,0.11785,14.103124034833332,0,0,234.7211
1710193410000,2.830000000000002,1.543000000000002,29.85,17.65199,18.245656666666665,37.64151666666667,41.27502,100,1610.6666666666667,14018.333333333334,0,0,15,1610,21.52221,19.89334,120.47457333333334,0.12026666666666667,14.489075352888891,0,0,234.7073
1710193425000,2.830000000000002,1.543000000000002,29.85,17.60798,18.21699,37.726395,41.261669999999995,100,1665.5,14013,0,0,15,1605,21.515535,19.86663,120.027875,0.11788,14.148885904999998,0,0,234.701
