"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1710193165000,1.6379999999999981,0.6022199999999982,28.598,20.70799,20.45799,36.45515,37.13035,100,1935,12813,0,0,15,1605,21.78657,20.90538,118.77418,0.11788,14.0011003384,0,0,234.6577
1710193170000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710193175000,1.6400000000000006,0.6042200000000006,28.6,20.70799,20.45799,36.51046,37.08457,100,1750,12800,0,0,15,1620,21.80526,20.89202,119.31016,0.12504,14.9185424064,0,0,234.661
1710193180000,1.6379999999999981,0.6022199999999982,28.598,20.75,20.45799,36.61918,37.12844,100,1806,12790,0,0,15,1605,21.79992,20.86532,119.06965,0.11788,14.035930341999999,0,0,234.6495
1710193185000,1.6359999999999992,0.6002199999999993,28.596,20.66598,20.45799,36.71455,37.13607,100,1806,12782,0,0,15,1605,21.79992,20.88401,119.8386,0.12504,14.984618544000002,0,0,234.6625
1710193190000,1.6359999999999992,0.6002199999999993,28.596,20.70799,20.45799,36.76414,37.21237,100,1787,12784,0,0,15,1620,21.77589,20.87867,119.22488,0.12152,14.4882074176,0,0,234.6827
1710193195000,1.6359999999999992,0.6002199999999993,28.596,20.70799,20.41598,36.82708,37.26959,100,1887,12795,0,0,15,1605,21.78924,20.87867,118.32176,0.12504,14.794952870400001,0,0,234.6488
1710193200000,1.6379999999999981,0.6022199999999982,28.598,20.66598,20.41598,36.89002,37.29057,100,1793,12802,0,0,15,1620,21.79725,20.90003,119.07742,0.11788,14.0368462696,0,0,234.6324
1710193205000,1.6359999999999992,0.6002199999999993,28.596,20.66598,20.41598,36.93008,37.22381,100,1806,12798,0,0,15,1605,21.7839,20.86265,119.05412,0.12152,14.4674566624,0,0,234.6374
1710193210000,1.6379999999999981,0.6022199999999982,28.598,20.75,20.41598,36.97204,37.25051,100,1806,12799,0,0,15,1620,21.79191,20.87066,118.62615,0.11788,13.983650562,0,0,234.6168
1710193215000,1.6359999999999992,0.6002199999999993,28.596,20.625,20.41598,37.01019,37.31346,100,1787,12803,0,0,15,1605,21.79458,20.86532,119.99282,0.12152,14.581527486399999,0,0,234.6844
1710193220000,1.6379999999999981,0.6022199999999982,28.598,20.66598,20.375,37.01591,37.3001,100,1806,12805,0,0,15,1605,21.78924,20.85998,118.54559,0.11788,13.9741541492,0,0,234.7009
1710193225000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710193230000,1.6379999999999981,0.6022199999999982,28.598,20.66598,20.41598,37.03117,37.2982,100,1772,12800,0,0,15,1605,21.77589,20.86265,117.81007,0.11788,13.8874510516,0,0,234.6919
1710193235000,1.6379999999999981,0.6022199999999982,28.598,20.625,20.41598,37.04643,37.27531,100,1772,12797,0,0,15,1605,21.79191,20.8493,121.53446,0.12846,15.612316731599998,0,0,234.6605
1710193240000,1.6400000000000006,0.6042200000000006,28.6,20.625,20.375,37.05596,37.39547,100,1787,12794,0,0,15,1605,21.77856,20.86532,118.17057,0.11788,13.929946791599999,0,0,234.6417
1710193245000,1.6379999999999981,0.6022199999999982,28.598,20.625,20.375,37.02545,37.43553,100,1818,12792,0,0,15,1620,21.77322,20.86265,119.62493,0.12504,14.957901247200002,0,0,234.6244
1710193250000,1.6359999999999992,0.6002199999999993,28.596,20.58299,20.375,36.97586,37.35923,100,1806,12799,0,0,15,1605,21.78123,20.85731,118.80531,0.11788,14.004769942800001,0,0,234.6408
1710193255000,1.6379999999999981,0.6022199999999982,28.598,20.625,20.33299,37.00447,37.37258,100,1768,12804,0,0,15,1620,21.7839,20.83328,119.93887,0.1318,15.807943066,0,0,234.6729
1710193260000,1.6379999999999981,0.6022199999999982,28.598,20.58299,20.375,36.95869,37.49084,100,1806,12797,0,0,15,1605,21.78657,20.85197,121.3695,0.12504,15.176042280000003,0,0,234.6889
1710193265000,1.6379999999999981,0.6022199999999982,28.598,20.66598,20.375,36.9625,37.55187,100,1806,12785,0,0,15,1605,21.77856,20.84396,120.01338,0.12504,15.0064730352,0,0,234.6743
1710193270000,1.6379999999999981,0.6022199999999982,28.598,20.625,20.375,36.91864,37.52708,100,1750,12781,0,0,15,1605,21.76521,20.85464,117.92514,0.12152,14.3302630128,0,0,234.6451
1710193275000,1.6359999999999992,0.6002199999999993,28.596,20.58299,20.33299,36.90147,37.52899,100,1733,12790,0,0,15,1620,21.77322,20.82794,117.99568,0.12152,14.338835033599999,0,0,234.5524
1710193280000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710193285000,1.6359999999999992,0.6002199999999993,28.596,20.625,20.33299,36.8576,37.50801,100,1806,12807,0,0,15,1605,21.7572,20.82794,121.68402,0.11788,14.3441122776,0,0,234.6108
1710193290000,1.6359999999999992,0.6002199999999993,28.596,20.54098,20.33299,36.82518,37.51564,0,0,12819,0,0,15,1620,21.77856,20.81726,117.99829,0.05894,6.9548192125999995,0,0,234.6276
1710193295000,1.6359999999999992,0.6002199999999993,28.596,20.58299,20.33299,36.84234,37.45841,100,1806,12815,0,0,15,1605,21.77322,20.84663,118.60017,0.11027,13.078040745900001,0,0,234.6804
1710193300000,1.6379999999999981,0.6022199999999982,28.598,20.58299,20.29098,36.75842,37.46795,100,1768,12808,0,0,15,1605,21.7572,20.83061,118.91941,0.11027,13.1132433407,0,0,234.6392
1710193305000,1.6379999999999981,0.6022199999999982,28.598,20.54098,20.29098,36.74507,37.50801,100,1752,12793,0,0,15,1620,21.7572,20.82527,118.50137,0.11027,13.0671460699,0,0,234.6759
1710193310000,1.6400000000000006,0.6042200000000006,28.6,20.54098,20.29098,36.69929,37.53089,100,1752,12779,0,0,15,1605,21.77589,20.8226,121.21957,0.11415,13.837213915500001,0,0,234.7659
1710193315000,1.6419999999999995,0.6062199999999995,28.602,20.54098,20.33299,36.68022,37.59002,100,1731,12782,0,0,15,1620,21.7572,20.80657,121.02871,0.11788,14.266864334800001,0,0,234.8236
1710193320000,1.6419999999999995,0.6062199999999995,28.602,20.5,20.33299,36.63825,37.57286,100,1750,12784,0,0,15,1605,21.74118,20.81993,118.4129,0.10626,12.582554753999998,0,0,234.7834
1710193325000,1.6439999999999984,0.6082199999999984,28.604,20.54098,20.29098,36.60011,37.46032,100,1750,12788,0,0,15,1620,21.74919,20.8039,118.2462,0.11415,13.497803730000001,0,0,234.7205
1710193330000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710193335000,1.6439999999999984,0.6082199999999984,28.604,20.54098,20.29098,36.52191,37.43171,100,1731,12793,0,0,15,1620,21.74652,20.80657,118.38687,0.11027,13.0545201549,0,0,234.6766
1710193340000,1.6439999999999984,0.6082199999999984,28.604,20.54098,20.29098,36.49711,37.39738,100,1695,12802,0,0,15,1605,21.74652,20.76919,120.5413,0.11415,13.759789395,0,0,234.6727
1710193345000,1.6419999999999995,0.6062199999999995,28.602,20.5,20.25,36.45896,37.28675,100,1768,12807,0,0,15,1620,21.73583,20.78788,118.82348,0.11027,13.102665139600001,0,0,234.7218
1710193350000,1.6419999999999995,0.6062199999999995,28.602,20.5,20.29098,36.40556,37.44316,100,1768,12805,0,0,15,1605,21.73851,20.76118,121.51925,0.11415,13.871422387500001,0,0,234.7848
1710193355000,1.6439999999999984,0.6082199999999984,28.604,20.54098,20.29098,36.34452,37.67204,100,1733,12798,0,0,15,1605,21.73583,20.79856,120.8146,0.11788,14.241625048,0,0,234.7825
1710193360000,1.6439999999999984,0.6082199999999984,28.604,20.5,20.25,36.34071,37.56904,100,1772,12803,0,0,15,1605,21.72782,20.76118,121.13055,0.11415,13.8270522825,0,0,234.7474
1710193365000,1.6439999999999984,0.6082199999999984,28.604,20.45799,20.20799,36.34071,37.68348,100,1768,12809,0,0,15,1620,21.73049,20.78254,117.92514,0.11027,13.0036051878,0,0,234.6982
1710193370000,1.6419999999999995,0.6062199999999995,28.602,20.45799,20.25,36.29875,37.6873,100,1750,12820,0,0,15,1605,21.70112,20.76919,118.76119,0.11027,13.095796421300001,0,0,234.6878
1710193375000,1.6419999999999995,0.6062199999999995,28.602,20.45799,20.25,36.37313,37.75596,100,1608,12832,0,0,15,1605,21.71981,20.74783,121.70428,0.12504,15.217903171200001,0,0,234.8038
1710193380000,1.6419999999999995,0.6062199999999995,28.602,20.45799,20.25,36.44752,37.68348,100,1768,12823,0,0,15,1605,21.71981,20.74783,121.29328,0.11027,13.3750099856,0,0,234.7861
1710193385000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710193390000,1.6400000000000006,0.6042200000000006,28.6,20.45799,20.25,36.50093,37.67585,100,1768,12809,0,0,15,1605,21.73316,20.73448,118.19926,0.11027,13.0338324002,0,0,234.7624
1710193395000,1.6419999999999995,0.6062199999999995,28.602,20.41598,20.20799,36.54479,37.78839,100,1752,12795,0,0,15,1605,21.71447,20.75851,119.72538,0.11027,13.2021176526,0,0,234.7405
1710193400000,1.6439999999999984,0.6082199999999984,28.604,20.41598,20.25,36.6249,37.73307,100,1752,12789,0,0,15,1605,21.70379,20.74249,121.4812,0.11788,14.320203856,0,0,
1710193405000,1.6439999999999984,0.6082199999999984,28.604,20.375,20.25,36.60202,37.66059,100,1750,12802,0,0,15,1605,21.69845,20.73982,118.76899,0.10626,12.620392877399999,0,0,234.7078
1710193410000,1.6419999999999995,0.6062199999999995,28.602,20.41598,20.25,36.67068,37.77694,100,1733,12823,0,0,15,1605,21.6851,20.71846,121.74226,0.11415,13.896878979,0,0,234.7153
1710193415000,1.6400000000000006,0.6042200000000006,28.6,20.45799,20.20799,36.68975,37.73689,100,1714,12836,0,0,15,1605,21.71447,20.71578,117.85192,0.11415,13.452796668000001,0,0,234.7964
1710193420000,1.6379999999999981,0.6022199999999982,28.598,20.41598,20.20799,36.69929,37.81127,100,1731,12825,0,0,15,1605,21.70112,20.7238,118.30091,0.11027,13.045041345700001,0,0,234.7618
