"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1710547945000,1.597999999999999,0.506359999999999,28.558,21.55999,21.39999,27.14157,31.43501,100,1714,12783,0,0,15,1605,22.68913,21.89338,123.31452,0.12504,15.419247580800002,0,0,234.7951
1710547950000,1.597999999999999,0.506359999999999,28.558,21.55999,21.39999,27.13012,31.64863,100,1787,12773,0,0,15,1605,22.67845,21.89071,122.82112,0.12846,15.777601075199998,0,0,234.7421
1710547955000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.18353,31.80503,100,1768,12777,0,0,15,1620,22.70515,21.89071,120.02879,0.12152,14.5858985608,0,0,234.7082
1710547960000,1.597999999999999,0.506359999999999,28.558,21.55999,21.43998,27.18734,32.2647,100,1787,12794,0,0,15,1605,22.68112,21.89071,119.4212,0.12152,14.512064224,0,0,234.6911
1710547965000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710547970000,1.597999999999999,0.506359999999999,28.558,21.51998,21.39999,27.19879,32.09495,100,1787,12798,0,0,15,1605,22.68112,21.88804,120.28276,0.12152,14.6167609952,0,0,234.7035
1710547975000,1.597999999999999,0.506359999999999,28.558,21.55999,21.39999,27.17399,31.85081,100,1695,12784,0,0,15,1620,22.6651,21.88003,121.66629,0.13505,16.4310324645,0,0,234.7632
1710547980000,1.597999999999999,0.506359999999999,28.558,21.51998,21.39999,27.21023,31.7192,100,1768,12766,0,0,15,1605,22.65975,21.85066,121.91937,0.12846,15.661762270199999,0,0,234.767
1710547985000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.19116,31.78405,100,1787,12756,0,0,15,1620,22.68112,21.86401,121.80554,0.12504,15.2305647216,0,0,234.7491
1710547990000,1.597999999999999,0.506359999999999,28.558,21.59999,21.39999,27.21214,32.16171,100,1752,12755,0,0,15,1605,22.64907,21.86668,122.07601,0.12846,15.681884244599999,0,0,234.7052
1710547995000,1.597999999999999,0.506359999999999,28.558,21.55999,21.35998,27.20069,32.44972,100,1787,12764,0,0,15,1605,22.64106,21.83197,121.8612,0.12504,15.237524448,0,0,234.6646
1710548000000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.19306,32.6519,100,1787,12780,0,0,15,1620,22.65174,21.84265,121.27041,0.12846,15.578396868599999,0,0,234.6826
1710548005000,1.597999999999999,0.506359999999999,28.558,21.55999,21.35998,27.20642,32.0816,100,1787,12785,0,0,15,1605,22.6651,21.85066,119.42893,0.12152,14.513003573599999,0,0,234.7398
1710548010000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.24647,31.98432,100,1787,12779,0,0,15,1605,22.66777,21.84532,120.59498,0.12504,15.079196299200003,0,0,234.7511
1710548015000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710548020000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.22167,32.07015,100,1787,12771,0,0,15,1605,22.64907,21.82662,120.96247,0.12152,14.6993593544,0,0,234.7511
1710548025000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.21214,31.91184,100,1768,12765,0,0,15,1605,22.64907,21.83197,120.60266,0.12504,15.080156606400001,0,0,234.7234
1710548030000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.18734,31.80885,100,1806,12769,0,0,15,1620,22.62771,21.84532,121.1,0.12152,14.716072,0,0,234.6691
1710548035000,1.597999999999999,0.506359999999999,28.558,21.55999,21.31999,27.25028,32.11784,100,1768,12777,0,0,15,1605,22.63839,21.82929,123.02423,0.12846,15.803692585799999,0,0,234.6702
1710548040000,1.597999999999999,0.506359999999999,28.558,21.51998,21.35998,27.23503,32.00531,100,1750,12783,0,0,15,1605,22.65441,21.84532,119.18092,0.12846,15.3099809832,0,0,234.7238
