"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM","Inductance/10000"
1710455855000,3.849999999999998,0.548599999999998,30.81,22.22999,22.15299,30.2143,36.51237,100,1696,15457,0,0,15,1605,22.31529,20.53688,117.52978,0.12504,14.6959236912,0,0,234.7368
1710455860000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710455865000,3.849999999999998,0.548599999999998,30.81,22.22999,22.11499,30.1876,36.50093,100,1826,15470,0,0,15,1605,22.30194,20.53955,118.78715,0.12504,14.853145236000001,0,0,234.7801
1710455870000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.18951,37.0388,100,1752,15469,0,0,15,1620,22.30728,20.54222,119.7434,0.12504,14.972714736,0,0,234.8289
1710455875000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.15299,30.19714,36.94343,100,1733,15447,0,0,15,1605,22.29927,20.53421,118.12882,0.12504,14.770827652800001,0,0,234.8249
1710455880000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,30.16281,36.99874,100,1695,15419,0,0,15,1620,22.29927,20.53421,117.87545,0.12846,15.142280306999998,0,0,234.8144
1710455885000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.16281,37.13417,100,1806,15412,0,0,15,1605,22.31262,20.53153,119.82574,0.12152,14.5612239248,0,0,234.7208
1710455890000,3.849999999999998,0.548599999999998,30.81,22.19198,22.11499,30.14564,37.20474,100,1826,15442,0,0,15,1605,22.29927,20.51818,121.08218,0.1318,15.958631323999999,0,0,234.7287
1710455895000,3.849999999999998,0.548599999999998,30.81,22.19198,22.11499,30.16853,37.17231,100,1714,15470,0,0,15,1620,22.31796,20.54489,121.60546,0.12846,15.621437391599999,0,0,234.771
1710455900000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.14183,37.00447,100,1714,15477,0,0,15,1605,22.2966,20.51818,118.09751,0.12846,15.1708061346,0,0,234.8067
1710455905000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.17234,36.94152,100,1696,15465,0,0,15,1605,22.31262,20.54756,121.44313,0.1318,16.006204534,0,0,234.8068
1710455910000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.15299,30.14755,36.99111,100,1714,15434,0,0,15,1605,22.31262,20.53421,118.07402,0.12504,14.763975460800001,0,0,234.7969
1710455915000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710455920000,3.849999999999998,0.548599999999998,30.81,22.22999,22.11499,30.11894,37.00447,100,1714,15421,0,0,15,1605,22.27523,20.52085,120.27507,0.12846,15.450535492199998,0,0,234.7598
1710455925000,3.849999999999998,0.548599999999998,30.81,22.22999,22.11499,30.10368,37.06932,100,1826,15431,0,0,15,1620,22.27523,20.51818,117.19886,0.12846,15.055365555599998,0,0,234.7486
1710455930000,3.849999999999998,0.548599999999998,30.81,22.22999,22.11499,30.14755,37.11318,100,1600,15454,0,0,15,1605,22.26989,20.52085,117.88592,0.12846,15.143625283199999,0,0,234.7732
1710455935000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.09796,37.05215,100,1875,15461,0,0,15,1620,22.2779,20.50216,119.58885,0.12846,15.362383670999998,0,0,234.7792
1710455940000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,30.11512,36.81564,100,1696,15470,0,0,15,1605,22.28591,20.50216,119.20936,0.12504,14.905938374400002,0,0,234.7844
1710455945000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.09796,36.80992,100,1714,15460,0,0,15,1605,22.26455,20.51017,120.7559,0.12846,15.512302914,0,0,234.7879
1710455950000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.06935,36.78894,0,0,15440,0,0,15,1605,22.25654,20.50483,118.1784,0.05894,6.965434896,0,0,234.7623
1710455955000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.15136,36.56959,100,1806,15440,0,0,15,1620,22.26722,20.5075,117.77604,0.10626,12.5148820104,0,0,234.7616
1710455960000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.07598,30.18379,36.47041,100,1752,15443,0,0,15,1605,22.27523,20.51818,121.58012,0.11788,14.331864545599998,0,0,234.829
1710455965000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710455970000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.24101,36.3903,100,1677,15451,0,0,15,1605,22.26455,20.50483,121.41775,0.11788,14.31272437,0,0,234.8966
1710455975000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,30.24482,36.49139,100,1714,15438,0,0,15,1605,22.25654,20.47012,118.56898,0.11415,13.534649067,0,0,234.8872
1710455980000,3.8520000000000003,0.5506000000000004,30.812,22.15299,22.15299,30.27534,36.54479,100,1714,15418,0,0,15,1605,22.2512,20.49148,120.52084,0.11788,14.2069966192,0,0,234.8204
1710455985000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.35736,36.62681,100,1714,15419,0,0,15,1605,22.2512,20.47813,116.95138,0.11415,13.350000027,0,0,234.8022
1710455990000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.41267,36.5467,100,1677,15442,0,0,15,1605,22.24586,20.49682,118.50398,0.11788,13.969249162399999,0,0,234.8579
1710455995000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.45463,36.57722,100,1695,15467,0,0,15,1620,22.2512,20.49148,117.20413,0.11027,12.924099415100002,0,0,234.8741
1710456000000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.07598,30.48515,36.6249,100,1696,15485,0,0,15,1605,22.24319,20.50216,117.72108,0.11415,13.437861282,0,0,234.9266
1710456005000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.07598,30.53665,36.67068,100,1696,15476,0,0,15,1605,22.24853,20.47546,117.58222,0.11415,13.422010413,0,0,234.8907
1710456010000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.50804,36.69357,100,1674,15452,0,0,15,1620,22.22717,20.4808,118.9557,0.12504,14.874220728000001,0,0,234.8512
1710456015000,3.8520000000000003,0.5506000000000004,30.812,22.15299,22.11499,30.57098,36.71264,100,1695,15432,0,0,15,1605,22.2512,20.47012,119.17057,0.11788,14.0478267916,0,0,234.8027
1710456020000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,,
1710456025000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.55381,36.62872,100,1714,15439,0,0,15,1620,22.23785,20.4808,118.59498,0.11788,13.979976242400001,0,0,234.7969
1710456030000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.59387,36.75079,100,1696,15457,0,0,15,1605,22.24853,20.47279,120.11607,0.11788,14.159282331599998,0,0,234.8619
1710456035000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.59959,36.66305,100,1695,15480,0,0,15,1620,22.22984,20.47546,118.60797,0.12152,14.4132405144,0,0,234.9478
1710456040000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,30.57861,36.64588,100,1714,15484,0,0,15,1605,22.2245,20.4808,117.62416,0.11027,12.970416123200001,0,0,234.9319
1710456045000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.53474,36.67068,100,1714,15473,0,0,15,1620,22.22717,20.48347,118.52738,0.11788,13.9720075544,0,0,234.8618
1710456050000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.07598,30.55953,36.54289,100,1695,15458,0,0,15,1605,22.2512,20.47546,120.80694,0.12152,14.6804593488,0,0,234.8103
1710456055000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,30.50422,36.40556,100,1617,15449,0,0,15,1605,22.24052,20.49682,118.03486,0.11788,13.913949296799998,0,0,234.7999
1710456060000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.11499,30.51567,36.59629,100,1714,15443,0,0,15,1620,22.23785,20.49148,119.39796,0.11415,13.629277134,0,0,234.8151
1710456065000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.50041,36.92436,100,1714,15458,0,0,15,1605,22.23785,20.50483,117.36181,0.11415,13.396850611500001,0,0,234.9009
1710456070000,3.8520000000000003,0.5506000000000004,30.812,22.22999,22.07598,30.48515,36.69548,100,1677,15471,0,0,15,1620,22.24853,20.49148,118.77159,0.11415,13.557776998500001,0,0,234.9359
1710456075000,undefined,undefined,undefined,undefined,,30.45082,36.69929,100,1695,15469,0,0,15,1605,22.22984,20.49415,,,,,,
1710456080000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.07598,,,,,,,,,,,,120.33656,0.11788,14.185273692800001,0,0,234.9072
1710456085000,3.8520000000000003,0.5506000000000004,30.812,22.19198,22.11499,30.44319,36.66687,100,1677,15463,0,0,15,1620,22.22717,20.51818,118.06097,0.11415,13.4766597255,0,0,234.8397
