"time","Ohaus Tare Weight","Ohaus Water Weight","Ohaus Weight","Bucket Temp","Bucket Temp 2 (Figure out later lol)","Intake Air RH","Exhaust RH","Grinder PWM","Grinder RPM","Stable Mass ","Intake Fan PWM","Intake Fan RPM","Exhaust Fan PWM","Exhaust Fan RPM","Intake SHT40","Exhaust SHT40","V_rms ","I_rms","Watts","Bucket Heater PWM","Intake Heater PWM"
1709849835000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.11499,35.14671,37.41836,100,1875,13330,0,0,15,1635,22.50488,22.54226,120.97521,0.11788,14.2605577548,0,0
1709849840000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1709849845000,2.5380000000000003,0.6520000000000004,29.342,22.22999,22.11499,35.20393,37.42408,100,1731,13320,0,0,15,1635,22.49687,22.54493,120.8197,0.12504,15.107295288000001,0,0
1709849850000,2.5360000000000014,0.6500000000000015,29.34,22.19198,22.15299,35.26306,37.53089,100,1659,13314,0,0,15,1635,22.49954,22.52624,119.85917,0.11788,14.1289989596,0,0
1709849855000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.11499,35.34126,37.39356,100,1768,13318,0,0,15,1635,22.51556,22.56362,119.86431,0.12152,14.565910951200001,0,0
1709849860000,2.5340000000000025,0.6480000000000026,29.338,22.19198,22.15299,35.41946,37.29438,100,1750,13325,0,0,15,1635,22.52357,22.55027,120.70484,0.12152,14.668052156800002,0,0
1709849865000,2.5360000000000014,0.6500000000000015,29.34,22.19198,22.11499,35.48622,37.37449,100,1733,13336,0,0,15,1635,22.50488,22.56362,120.09297,0.11788,14.1565593036,0,0
1709849870000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.11499,35.47668,37.40501,100,1752,13337,0,0,15,1635,22.50488,22.53158,123.56173,0.12504,15.450158719200001,0,0
1709849875000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.11499,35.5606,37.54043,100,1731,13330,0,0,15,1635,22.5209,22.56362,123.58668,0.12504,15.453278467200002,0,0
1709849880000,2.5340000000000025,0.6480000000000026,29.338,22.19198,22.15299,35.55679,37.58239,100,1636,13317,0,0,15,1620,22.51823,22.58232,120.76356,0.11788,14.2356084528,0,0
1709849885000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.07598,35.60829,37.64343,100,1750,13305,0,0,15,1620,22.53425,22.54493,122.27784,0.12152,14.8592031168,0,0
1709849890000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.15299,35.63308,37.59765,100,1750,13305,0,0,15,1620,22.5209,22.57164,123.42945,0.12504,15.433618428000003,0,0
1709849895000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.11499,35.72082,37.67776,100,1855,13312,0,0,15,1635,22.5209,22.53692,121.1509,0.11788,14.281268092,0,0
1709849900000,2.5340000000000025,0.6480000000000026,29.338,22.19198,22.11499,35.73799,37.73117,100,1731,13329,0,0,15,1635,22.5209,22.54493,120.57197,0.12504,15.0763191288,0,0
1709849905000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.15299,35.7933,37.77313,100,1714,13341,0,0,15,1635,22.50755,22.55828,122.88887,0.12504,15.366024304800002,0,0
1709849910000,2.5340000000000025,0.6480000000000026,29.338,22.19198,22.15299,35.80665,37.69683,100,1750,13343,0,0,15,1620,22.5209,22.55294,123.67144,0.12846,15.8868331824,0,0
1709849915000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.11499,35.8715,37.77313,100,1608,13336,0,0,15,1620,22.54226,22.56095,120.81715,0.11415,13.7912776725,0,0
1709849920000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.90202,37.64152,100,1768,13325,0,0,15,1635,22.52357,22.53959,120.31094,0.11788,14.1822536072,0,0
1709849925000,2.5360000000000014,0.6500000000000015,29.34,22.26899,22.11499,35.91156,37.75215,100,1752,13317,0,0,15,1635,22.53158,22.55294,122.21228,0.12152,14.8512362656,0,0
1709849930000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.93444,37.75024,100,1752,13319,0,0,15,1635,22.54226,22.57965,120.0442,0.11788,14.150810296,0,0
1709849935000,2.5360000000000014,0.6500000000000015,29.34,22.19198,22.11499,35.96687,37.81318,100,1752,13328,0,0,15,1635,22.51556,22.56095,118.84422,0.11788,14.009356653600001,0,0
1709849940000,2.532,0.6460000000000001,29.336,22.22999,22.15299,35.9497,37.75978,100,1768,13334,0,0,15,1620,22.54493,22.55828,121.17887,0.12846,15.5666376402,0,0
1709849945000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.93444,37.67776,0,0,13340,0,0,15,1635,22.54493,22.55828,119.55276,0.05894,7.0464396744,0,0
1709849950000,undefined,undefined,undefined,undefined,,,,,,,,,,,,,,,,,
1709849955000,2.5340000000000025,0.6480000000000026,29.338,22.19198,22.15299,36.00311,37.57286,100,1826,13337,0,0,15,1635,22.54226,22.56362,122.3106,0.11415,13.96175499,0,0
1709849960000,2.5380000000000003,0.6520000000000004,29.342,22.19198,22.11499,35.98785,37.61863,100,1768,13338,0,0,15,1635,22.56095,22.58232,119.42378,0.11415,13.632224487,0,0
1709849965000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.15299,35.95352,37.66441,100,1733,13324,0,0,15,1620,22.55027,22.55294,122.10379,0.11788,14.3935947652,0,0
1709849970000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.11499,35.90774,37.73498,100,1733,13311,0,0,15,1635,22.5476,22.58499,121.62321,0.12152,14.779652479200001,0,0
1709849975000,2.5340000000000025,0.6480000000000026,29.338,22.26899,22.15299,35.8448,37.8952,100,1695,13313,0,0,15,1635,22.53158,22.56896,118.14709,0.11788,13.9271789692,0,0
1709849980000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.7933,37.82463,100,1677,13328,0,0,15,1620,22.55561,22.53959,119.49861,0.11788,14.0864961468,0,0
1709849985000,2.532,0.6460000000000001,29.336,22.22999,22.15299,35.79139,37.66059,100,1772,13337,0,0,15,1620,22.55294,22.57164,118.6911,0.11415,13.548589065000002,0,0
1709849990000,2.5340000000000025,0.6480000000000026,29.338,22.26899,22.15299,35.76278,37.67204,100,1750,13338,0,0,15,1635,22.55294,22.57698,119.10072,0.11788,14.0395928736,0,0
1709849995000,2.530000000000001,0.6440000000000012,29.334,22.22999,22.11499,35.70747,37.72163,100,1750,13329,0,0,15,1635,22.56896,22.56362,117.99307,0.11415,13.4689089405,0,0
1709850000000,2.5360000000000014,0.6500000000000015,29.34,22.26899,22.15299,35.74752,37.78648,100,1750,13306,0,0,15,1635,22.55294,22.58232,119.80516,0.12152,14.5587230432,0,0
1709850005000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.68649,37.85896,100,1714,13292,0,0,15,1635,22.56629,22.57698,120.05703,0.12152,14.589330285600001,0,0
1709850010000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.63117,37.83607,100,1642,13299,0,0,15,1635,22.54226,22.55294,120.1956,0.12504,15.029257824000002,0,0
1709850015000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.65025,37.75405,100,1768,13319,0,0,15,1620,22.56896,22.58232,121.00579,0.11788,14.2641625252,0,0
1709850020000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.59494,37.56332,100,1752,13337,0,0,15,1620,22.56629,22.57164,117.55599,0.11415,13.4190162585,0,0
1709850025000,2.5340000000000025,0.6480000000000026,29.338,22.22999,22.15299,35.51864,37.50228,100,1733,13347,0,0,15,1620,22.55828,22.59033,118.19926,0.11788,13.9333287688,0,0
1709850030000,2.532,0.6460000000000001,29.336,22.22999,22.15299,35.46333,37.67585,100,1752,13334,0,0,15,1635,22.54226,22.57965,119.19126,0.11415,13.605682329,0,0
1709850035000,2.5360000000000014,0.6500000000000015,29.34,22.22999,22.19198,35.42137,37.59765,100,1750,13315,0,0,15,1635,22.55294,22.56095,121.02616,0.12152,14.707098963200002,0,0
1709850040000,2.5360000000000014,0.6500000000000015,29.34,22.26899,22.15299,35.429,37.93716,100,1714,13301,0,0,15,1620,22.53425,22.56896,121.01089,0.12152,14.7052433528,0,0
